k	term	gloss	blind	missing
w3393	lumber	עצי בניין, קרשים, עצה מנוסרת	עץ בניין	1:עץ בניין
w3395	malformation	עיוות, פגם	מום | עיוות	1:מום
w3398	mere	רק, לא יותר מ-	גרידא | בלבד	1:גרידא | 2:בלבד
w3399	mischief	נזק, מעשה קונדס	שובבות | תעלול	1:שובבות | 2:תעלול
w3400	mobilize	לנייד, להניע	לגייס	1:לגייס
w3409	nonetheless	למרות זאת	עם זאת | בכל זאת	1:עם זאת | 2:בכל זאת
w3412	noted	ידוע, מפורסם	לציין | ידוע	1:לציין
w3414	nutrient	חומר מזין	רכיב תזונתי	1:רכיב תזונתי
w3418	ordinarily	בדרך-כלל	בדרך כלל	1:בדרך כלל
w3419	orient	להתמצא	לכוון | מזרח	1:לכוון | 2:מזרח
w3420	originate	התחיל, התהווה	לנבוע | ליזום	1:לנבוע | 2:ליזום
w3422	outweigh	עולה על, שוקל יותר מ-	לגבור על	1:לגבור על
w3423	overdue	שעבר זמן ההגשה שלו	באיחור	1:באיחור
w3424	overlooked	לא הבחין, פספס, החמיץ; התעלם; (גם: צפה על מגבוה)	להתעלם | להשקיף	1:להתעלם | 2:להשקיף
w3427	particulars	פרטים, פרטי מידע	פרט	1:פרט
w3428	perceive	להבחין, לראות	לתפוס | להבחין	1:לתפוס
w3441	poverty-stricken	מוכה עוני	עני | מרוד	1:עני | 2:מרוד
w3446	prescribe	לרשום מרשם	לרשום | להורות	1:לרשום | 2:להורות
w3448	presently	כעת	כרגע | בקרוב	1:כרגע | 2:בקרוב
w3450	probation	תקופת מבחן	תקופת ניסיון | מאסר על תנאי	1:תקופת ניסיון | 2:מאסר על תנאי
w3451	proclaim	להכריז בפומבי	להכריז	1:להכריז
w3455	prospective	צפוי, עתידי	פוטנציאלי | עתידי	1:פוטנציאלי
w3458	provided that	בתנאי ש-	בתנאי ש	1:בתנאי ש
w3465	readily	ללא קושי	בקלות | ברצון	1:בקלות | 2:ברצון
w3469	recipient	נמען	מקבל	1:מקבל
w3476	reluctant	מסויג, לא מעוניין	מהסס	1:מהסס
w3483	robust	איתן, חזק ובריא	חזק | איתן	1:חזק
w3485	sake	תועלת, עניין	למען	1:למען
w3488	saw	מסור	לראות | משור	1:לראות | 2:משור
w3490	score	לחתוך, לחרוץ; תוצאה; לזכות בניקוד	ניקוד | תוצאה | לקלוע	1:ניקוד | 3:לקלוע
w3492	sedative	סם הרגעה, משכך	תרופת הרגעה	1:תרופת הרגעה
w3495	seismic	ססמי (קשור לרעידות אדמה)	סייסמי	1:סייסמי
w3501	skyrocket	להאמיר	לזנק	1:לזנק
w3504	span	להימתח, להקיף; מרווח	טווח | להשתרע	1:טווח | 2:להשתרע
w3511	strain	מתח נפשי; להתאמץ, למתוח, לנקוע	מתח | לאמץ | זן	1:מתח | 2:לאמץ | 3:זן
w3514	stroke	ליטוף; מכה; שבץ/אירוע מוחי	שבץ | ללטף	1:שבץ | 2:ללטף
w3516	sturdy	חסון, מוצק	חזק | יציב | מוצק	1:חזק | 2:יציב
w3517	subsequent	עוקב	הבא | מאוחר יותר	1:הבא | 2:מאוחר יותר
w3522	swept away	נסחף	לסחוף	1:לסחוף
w3533	undertake	לקחת על עצמך	ליזום | להתחייב	1:ליזום | 2:להתחייב
w3535	unfold	נפרש, נפתח, התגלה; לפתוח קיפול	להתפתח | לפרוש	1:להתפתח | 2:לפרוש
w3540	vain	לשווא; שחצן	יהיר | חסר תוחלת	1:יהיר | 2:חסר תוחלת
w3542	verse	בית בשיר; שירה	פסוק | בית | שירה	1:פסוק | 2:בית
w3543	vessel	כלי שיט	כלי | ספינה	1:כלי | 2:ספינה
w3545	virtue	מעלה	מידה טובה | סגולה	1:מידה טובה | 2:סגולה
w3550	whereas	בעוד ש-	בעוד ש	1:בעוד ש
w3551	wholesale	סיטונאות	סיטונאי | גורף	1:סיטונאי | 2:גורף
w3561	abstain	להתנזר, להימנע ממשהו	להימנע	1:להימנע
w3562	acclaim	להריע, לשבח	שבח | לשבח	1:שבח
w3563	accomplices	שותף לדבר עבירה	שותף לפשע | שותף	1:שותף לפשע | 2:שותף
w3564	accomplished	מומחה, מעולה	מוכשר | מיומן	1:מוכשר | 2:מיומן
w3570	affluence	שפע	עושר | שפע	1:עושר
w3571	affluent	שופע, עשיר	אמיד | עשיר	1:אמיד
w3572	agitate	להסעיר, לזעזע, לעצבן	לעורר | להסעיר | לנער	1:לעורר | 3:לנער
w3574	albeit	אף על פי ש, אם כי	אף על פי | למרות ש	1:אף על פי | 2:למרות ש
w3581	antler	קרן מסועפת של אייל/צבי	קרן	1:קרן
w3584	arable	מתאים לעיבוד	ראוי לעיבוד | חקלאי	1:ראוי לעיבוד | 2:חקלאי
w3585	articulate	להביע; רהוט	לבטא | רהוט | לנסח	1:לבטא | 3:לנסח
w3596	benefactors	נדבנים, תורמים	נדבן | תורם	1:נדבן | 2:תורם
w3598	bleak	עגום	קודר | עגום	1:קודר
w3599	bolster	לתמוך	לחזק | לתמוך	1:לחזק
w3601	candid	כנה, ישיר	כן | גלוי לב	1:כן | 2:גלוי לב
w3602	canvass	לבדוק, לסקור	לגייס תמיכה	1:לגייס תמיכה
w3604	caste	מעמד חברתי	קאסטה | מעמד	1:קאסטה | 2:מעמד
w3608	commendably	באופן ראוי לשבח	ראוי לשבח	1:ראוי לשבח
w3609	commends	לציין לשבח	לשבח | להמליץ	1:לשבח | 2:להמליץ
w3610	commute	להמתיק (עונש); להחליף, להמיר; לנסוע בקביעות לעבודה	לנסוע | להמיר	1:לנסוע
w3612	compulsory	מהווה חובה	חובה	1:חובה
w3615	concerted	מתואם	משותף | מתואם	1:משותף
w3619	condone	לסלוח, למחול	להשלים עם | לסלוח	1:להשלים עם
w3621	confide	לשתף, לספר (סוד)	לשתף בסוד	1:לשתף בסוד
w3622	confinement	מאסר, ריתוק	כליאה | מאסר	1:כליאה
w3627	conjecture	סברה, לשער	השערה | לשער	1:השערה
w3630	constituent	מרכיב; בוחר	רכיב | בוחר	1:רכיב
w3632	convene	לכנס	להתכנס	1:להתכנס
w3636	croak	קרקור	לקרקר | למות	1:לקרקר | 2:למות
w3637	culminate	הגיע לשיא	להגיע לשיא	1:להגיע לשיא
w3638	dampen	לדכא	להרטיב | להחליש	1:להרטיב | 2:להחליש
w3639	dandy	גנדרני	גנדרן | מצוין	1:גנדרן | 2:מצוין
w3641	deem	לראות כ-, לחשוב ל-	להחשיב	1:להחשיב
w3643	deliberation	דיון	שיקול דעת | דיון	1:שיקול דעת
w3664	die (dice)	קובייה (קוביות)	קוביה	1:קוביה
w3665	diminish	לצמצם	לפחות | להקטין	1:לפחות | 2:להקטין
w3666	disarmament	פירוק מנשק	פירוק נשק	1:פירוק נשק
w3670	dislocate	לפרוק, לנקוע	לפרק	1:לפרק
w3677	dissent	להתנגד, חילוקי דעות	התנגדות | לחלוק דעה	1:התנגדות | 2:לחלוק דעה
w3679	diverge	לסטות	להתפצל | לסטות	1:להתפצל
w3683	draw (drew)	לשלוף, שלף	לצייר | למשוך | תיקו	1:לצייר | 2:למשוך | 3:תיקו
w3685	dwindle	הידלדל, התמעט	להצטמצם | לדעוך	1:להצטמצם | 2:לדעוך
w3687	elude	לברוח, להתחמק	לחמוק	1:לחמוק
w3689	embark	לצאת לדרך, לפתוח ב-; לעלות על ספינה או מטוס	להפליג | להתחיל	1:להפליג | 2:להתחיל
w3691	embitter	גורם התמרמרות	למרר	1:למרר
w3692	eminent	בולט, בכיר	נודע	1:נודע
w3695	enclosing	לסגור, להקיף	לצרף | להקיף	1:לצרף
w3696	enclosure	סגירה, כיתור, שטח מגודר	מכלאה | נספח	1:מכלאה | 2:נספח
w3700	ensue	להתרחש בעקבות, לבוא כתוצאה, להתחולל	לנבוע	1:לנבוע
w3701	epitomize	לייצג, לאפיין	לגלם | לסמל	1:לגלם | 2:לסמל
w3707	expend	לגמור, לבזבז, לפזר	להוציא | לבזבז	1:להוציא
w3708	exquisite	מצוין; חד, מעודן, אנין	נפלא | מעודן	1:נפלא
w3709	extrapolate	לאמוד על סמך מידע קיים	להסיק	1:להסיק
w3718	flimsy	רעוע, דל, שביר; קלוש, בלתי משכנע (תירוץ/ראיה)	רופף | קלוש	1:רופף
w3719	fluctuation	חוסר יציבות	תנודה	1:תנודה
w3721	foremost	ראשון במעלה, בעיקר	המוביל	1:המוביל
w3723	formidable	אדיר, מאיים	מרשים | מפחיד	1:מרשים | 2:מפחיד
w3724	forsake	לזנוח	לנטוש | לזנוח	1:לנטוש
w3725	fraternal	אחוותי, של אחים	אחאי	1:אחאי
w3727	frivolous	קל דעת, לא רציני; חסר חשיבות	שטותי | קליל דעת	1:שטותי | 2:קליל דעת
w3729	fume	אדים, עשן	לזעום | אד	1:לזעום | 2:אד
w3731	futile	חסר תוחלת, נטול סיכוי	חסר תועלת | עקר	1:חסר תועלת | 2:עקר
w3732	gauge	למדוד, להעריך, מידה	מד | להעריך	1:מד
w3736	glaze	זיגוג	ציפוי | לצפות	1:ציפוי | 2:לצפות
w3738	granted (that)	בהנחה ש-, נתון ש-	אמנם	1:אמנם
w3740	grievance	טרוניה, התמרמרות	תלונה	1:תלונה
w3754	impartially	באופן הוגן, ללא אפליה	בהגינות | באובייקטיביות	1:בהגינות | 2:באובייקטיביות
w3755	implicate	לסבך, לערב	להפליל | לערב	1:להפליל
w3757	inadvertently	בלי משים, בלי כוונה	בשוגג | בטעות	1:בשוגג | 2:בטעות
w3758	incidence	כמות, הִקָּרוּת (משהו שקורה)	שכיחות	1:שכיחות
w3764	inhabit	לגור ב-, לשכון ב-, לאכלס	לגור | להתגורר	1:לגור | 2:להתגורר
w3767	instill	להחדיר, להשריש	להנחיל | להקנות	1:להנחיל | 2:להקנות
w3768	insurmountable	שאין להתגבר עליו	בלתי עביר	1:בלתי עביר
w3769	insurrection	התקוממות	מרד | התקוממות	1:מרד
w3770	interjection	הערה, הפרעה לשיחה	מילת קריאה	1:מילת קריאה
w3771	interminable	נצחי	אינסופי | בלתי נגמר	1:אינסופי | 2:בלתי נגמר
w3773	invertebrate	חסר-חוליות	חסר חוליות	1:חסר חוליות
w3776	keystone	אבן מפתח	אבן פינה | אבן מפתח	1:אבן פינה
w3783	leniency	ותרנות, מתינות, הקלה בעונש	סלחנות | ותרנות	1:סלחנות
w3787	lucrative	ריווחי	רווחי | משתלם	1:רווחי | 2:משתלם
w3790	markedly	בצורה ניכרת	משמעותית | באופן ניכר	1:משמעותית | 2:באופן ניכר
w3791	marsupial	חיית כיס	יונק כיס	1:יונק כיס
w3794	misconception	דעה מוטעית	תפיסה מוטעית | אי הבנה	1:תפיסה מוטעית | 2:אי הבנה
w3795	mitigate	למתן, להפחית	לצמצם | להקל	1:לצמצם | 2:להקל
w3796	momentous	הרה גורל	גורלי | מכריע	1:גורלי | 2:מכריע
w3798	myriad	רב, הרבה	אינספור	1:אינספור
w3802	nestle	לשכון בנוחות, להיות מוקם בחיק; להתכרבל	להצטנף	1:להצטנף
w3810	obscure	סתום, לא ידוע; לטשטש	מעורפל | להסתיר	1:מעורפל | 2:להסתיר
w3812	ode	שיר הלל	אודה | שיר שבח	1:אודה | 2:שיר שבח
w3816	omniscient	יודע כול; מספר כל-יודע	כל-יודע	1:כל-יודע
w3819	overhaul	שיפוץ, אוברול	לשפץ | שיפוץ | רפורמה	1:לשפץ | 3:רפורמה
w3821	paramount	בעל חשיבות עליונה	עליון | חשוב ביותר	1:עליון | 2:חשוב ביותר
w3825	penned	כָּתַב	לכתוב | לכלוא	1:לכתוב | 2:לכלוא
w3826	perch	ענף; נח, ישב על ענף	לשבת | מוט	1:לשבת | 2:מוט
w3830	pervasive	מתפשט, מחלחל	נפוץ | רווח	1:נפוץ | 2:רווח
w3833	plight	צרה, סכנה	מצוקה | מצב קשה	1:מצוקה | 2:מצב קשה
w3835	poacher	מסיג גבול, צייד לא מורשה	צייד לא-חוקי	1:צייד לא-חוקי
w3837	populous	מאוכלס בצפיפות	רב אוכלוסין	1:רב אוכלוסין
w3839	posterity	הדורות הבאים	דורות הבאים	1:דורות הבאים
w3841	poultry	עוף	עופות	1:עופות
w3842	predecessors	קודמים	קודם	1:קודם
w3843	predestined	נקבע מראש	נועד מראש | מיועד	1:נועד מראש | 2:מיועד
w3845	pretext	אמתלה, תואנה	תירוץ | תואנה	1:תירוץ
w3847	proliferate	התפשט במהירות	להתרבות	1:להתרבות
w3850	prompted	הביא לידי	לעורר | לגרום	1:לעורר | 2:לגרום
w3855	quarrelsome	וכחני	נוטה לריב | קנטרן	1:נוטה לריב | 2:קנטרן
w3862	reconcile	להתפייס; ליישב (סתירות), לגשר בין, להתאים	לפייס | להשלים עם	1:לפייס | 2:להשלים עם
w3864	reigned	משל, שלט	למלוך	1:למלוך
w3867	relegated	הורד בדרגה	להוריד בדרגה	1:להוריד בדרגה
w3868	render	להפוך ל-, לגרום; להגיש	להפוך | לעבד	1:להפוך | 2:לעבד
w3870	resent	לחוש טינה, להתרעם על	להתמרמר | לחוש טינה	1:להתמרמר
w3871	respective	שייך בהתאמה	מתאים | פרטני	1:מתאים | 2:פרטני
w3874	resurgence	תחייה	התעוררות מחדש | תחייה	1:התעוררות מחדש
w3876	rotary	נע על ציר סיבובי	סיבובי | כיכר תנועה	1:סיבובי | 2:כיכר תנועה
w3878	sarcophagus	ארון קבורה קדום	סרקופג | ארון קבורה	1:סרקופג | 2:ארון קבורה
w3879	scales	קשקשים (של דג)	מאזניים | קשקשים | סולם	1:מאזניים | 3:סולם
w3882	scrutinize	בדק, בחן	לבחון | לבדוק בקפידה	1:לבחון | 2:לבדוק בקפידה
w3883	sensations	חדשות מרעישות	תחושה | סנסציה	1:תחושה | 2:סנסציה
w3885	shingles	רעף	שלבקת חוגרת | רעף	1:שלבקת חוגרת
w3888	slant	אלכסון, נטייה	הטיה | שיפוע	1:הטיה | 2:שיפוע
w3889	slate	להכניס מישהו לרשימה; רעף, לוח	צפחה | לוח	1:צפחה
w3891	snarl	לנהום בחשיפת שיניים, לרטון בכעס; סבך/פקק	לנהום	1:לנהום
w3892	snicker	גיחוך	לצחקק | צחקוק	1:לצחקק | 2:צחקוק
w3893	soar	להמריא	לדאות | לזנק	1:לדאות | 2:לזנק
w3894	solicit	לשדל / להדיח; לבקש/לחפש בתחינה	לבקש | לגייס	1:לבקש | 2:לגייס
w3896	speck	גרגר זעיר, נקודה זעירה, פירור	נקודה	1:נקודה
w3897	spewing	פולט/מתיז בעוצמה, מקיא	לפלוט | להקיא	1:לפלוט | 2:להקיא
w3899	sprang	קפץ, זינק; נבע, צמח (עבר של spring)	לקפוץ | לנבוע	1:לקפוץ | 2:לנבוע
w3900	sprawling	משתרע על שטח נרחב; מתפשט ללא סדר	משתרע	1:משתרע
w3901	staple	מצרך יסוד, מוצר בסיסי; עיקרי; סיכת הידוק	בסיסי | סיכת שדכן | לשדך	1:בסיסי | 2:סיכת שדכן | 3:לשדך
w3902	stark	בוטה, מוחלט, גמור; שומם, עזוב	קיצוני | קודר	1:קיצוני | 2:קודר
w3905	streamlined	יעיל וחסכוני; אווירודינמי, מעוצב לזרימה	יעיל	1:יעיל
w3906	stricken	מוכה	פגוע | מוכה	1:פגוע
w3913	susceptible	רגיש ל-, חשוף ל-, נוטה ל-	רגיש | נוטה	1:רגיש | 2:נוטה
w3914	swindler	רמאי	נוכל | רמאי	1:נוכל
w3919	thereby	ובכך, על ידי כך, ולכן	בכך	1:בכך
w3928	underlies	מונח ביסוד, נמצא מתחת ל-	לעמוד בבסיס	1:לעמוד בבסיס
w3930	upheaval	מהפך	טלטלה | מהפך | תהפוכה	1:טלטלה | 3:תהפוכה
w3931	uphold	להחזיק, לתמוך, לדגול	לקיים | לתמוך	1:לקיים
w3937	vertebrate	בעל חוליות	חולייתן	1:חולייתן
w3941	vocation	מקצוע	ייעוד | מקצוע	1:ייעוד
w3944	withhold	לעכב, לעצור, לא לתת	להסתיר | לעכב	1:להסתיר
w3945	wrought	מעוצב, מחושל	מעובד	1:מעובד
