k	term	gloss	blind	missing
w1681	debate	ויכוח, דיון	ויכוח | להתווכח	2:להתווכח
w1683	defeated	הובס	להביס | מובס	1:להביס | 2:מובס
w1685	degree	מעלה (מדידה); תואר אקדמי; דרגה; מידה, במידה מסוימת	תואר | מעלה | מידה	1:תואר
w1686	demand	לדרוש, דרישה	לדרוש | דרישה | ביקוש	3:ביקוש
w1687	dental	שקשור בשיניים	של שיניים | דנטלי	1:של שיניים | 2:דנטלי
w1689	deny	לסרב; להכחיש	להכחיש | לשלול	2:לשלול
w1690	depart	לעזוב	לצאת | לעזוב	1:לצאת
w1696	distant	מרוחק	רחוק | מנוכר	1:רחוק | 2:מנוכר
w1697	district	מחוז	מחוז | אזור	2:אזור
w1700	double standard	מוסר כפול	תקן כפול	1:תקן כפול
w1704	elderly	זקן	קשיש	1:קשיש
w1705	eliminate	לחסל, לפסול	לחסל | להסיר	2:להסיר
w1707	employ	להעסיק; להשתמש ב-, לנקוט	להעסיק | להשתמש	2:להשתמש
w1712	equally	במידה שווה	באופן שווה	1:באופן שווה
w1713	era	עידן	עידן | תקופה	2:תקופה
w1715	essential	חיוני	חיוני | הכרחי	2:הכרחי
w1716	evolved	התפתח	להתפתח	1:להתפתח
w1717	exception	יוצא מהכלל	יוצא דופן | חריגה	1:יוצא דופן | 2:חריגה
w1718	execute	להוציא לפועל; להוציא להורג	לבצע | להוציא להורג	1:לבצע
w1720	expand	להרחיב	להתרחב | להרחיב	1:להתרחב
w1722	expense	הוצאות	הוצאה	1:הוצאה
w1724	expression	ביטוי	ביטוי | הבעה	2:הבעה
w1727	facial	שקשור בפנים	של הפנים | טיפול פנים	1:של הפנים | 2:טיפול פנים
w1732	flood	שיטפון	שיטפון | להציף	2:להציף
w1733	footprints	עקבות, טביעות רגל	טביעת רגל	1:טביעת רגל
w1735	foundation	יסוד	יסוד | קרן	2:קרן
w1736	frequently	לעיתים קרובות	לעתים קרובות	1:לעתים קרובות
w1738	fuel	דלק	דלק | לתדלק	2:לתדלק
w1740	funds	כסף, הון, מקור מימון	כסף | קרן	2:קרן
w1741	gain	להרוויח, להוסיף	להשיג | רווח	1:להשיג | 2:רווח
w1744	gather	אסף	להתאסף | לאסוף	1:להתאסף | 2:לאסוף
w1747	greet	לברך, לקבל פנים	לברך | לקדם פנים	2:לקדם פנים
w1749	guarantee	להבטיח, ערבות	להבטיח | אחריות	2:אחריות
w1751	heavily	מאוד, במידה רבה	בכבדות | מאוד	1:בכבדות
w1752	hike	הליכה, טיול	טיול רגלי | לטייל | העלאה	1:טיול רגלי | 2:לטייל | 3:העלאה
w1754	identify	לזהות	לזהות | להזדהות	2:להזדהות
w1755	illness	מחלה	מחלה | חולי	2:חולי
w1757	impatient	חסר סבלנות	חסר סבלנות | קצר רוח	2:קצר רוח
w1761	in conclusion	לסיכום	לסיכום | לסיום	2:לסיום
w1763	increase	להגדיל, להגביר	לעלות | עלייה	1:לעלות | 2:עלייה
w1764	indication	אינדיקציה, סימן ל-	סימן | רמז	1:סימן | 2:רמז
w1765	industry	תעשייה	תעשייה | חריצות	2:חריצות
w1766	infected	הודבק	נגוע | להדביק	1:נגוע | 2:להדביק
w1767	infection	זיהום	זיהום | הדבקה	2:הדבקה
w1770	ingredients	מרכיבים	מרכיב	1:מרכיב
w1773	insanity	אי שפיות	שיגעון | טירוף	1:שיגעון | 2:טירוף
w1775	inspiring	נותן השראה	מעורר השראה	1:מעורר השראה
w1776	institute	מוסד, מכון; לכונן	מכון | לייסד	2:לייסד
w1780	interrupt	להפריע	להפריע | לקטוע	2:לקטוע
w1781	invent	להמציא	להמציא | לבדות	2:לבדות
w1785	labor	להתאמץ; עבודה, עמל, לעמול	עבודה | לידה	2:לידה
w1786	lack	מחסור	חוסר | לחסר	1:חוסר | 2:לחסר
w1787	lame	צולע	צולע | גרוע	2:גרוע
w1789	lifetime	תקופת החיים, במשך החיים	חיים | משך חיים	1:חיים | 2:משך חיים
w1792	locate	לאתר	לאתר | למקם	2:למקם
w1793	log	יומן, לתעד ביומן; בול עץ	בול עץ | יומן | לתעד	3:לתעד
w1797	luxury	מותרות	מותרות | פאר	2:פאר
w1801	measure	אמצעי; למדוד	למדוד | אמצעי | מידה	3:מידה
w1803	melt	להמיס	להימס | להמיס	1:להימס
w1804	minor	קטין; סולם מינור (במוזיקה); קטן, שולי	משני | קטין | זניח	1:משני | 3:זניח
w1806	moral	מוסר	מוסרי | מוסר השכל	1:מוסרי | 2:מוסר השכל
w1807	mortal	קטלני; אנושי, בן תמותה	בן תמותה | אנוש	2:אנוש
w1814	observe	להתבונן, להבחין	לצפות | לשמור | להעיר	1:לצפות | 2:לשמור | 3:להעיר
w1815	offend	להעליב	לפגוע | להעליב	1:לפגוע
w1816	offensive	מעליב, פוגעני	פוגעני | התקפה	2:התקפה
w1819	orbit	מסלול (סביב גרם שמים); להקיף במסלול, לחוג	מסלול | להקיף	2:להקיף
w1822	outstanding	יוצא מן הכלל, מצוין	מצוין | בולט | פתוח	2:בולט | 3:פתוח
w1823	oven	תנור בישול	תנור	1:תנור
w1825	pad	לרפד	פנקס | רפידה | לרפד	1:פנקס | 2:רפידה
w1827	parallel	מקביל	מקביל | מקבילה	2:מקבילה
w1831	perform	לבצע, להציג	לבצע | להופיע	2:להופיע
w1832	permanently	באופן קבוע, לצמיתות	לצמיתות | לתמיד	2:לתמיד
w1833	pharmacy	בית מרקחת	בית מרקחת | רוקחות	2:רוקחות
w1835	poisonous	רעיל	רעיל | ארסי	2:ארסי
w1842	primary	יסודי, עיקרי	עיקרי | ראשוני	2:ראשוני
w1844	privilege	זכות יתר, פריווילגיה	זכות יתר | פריבילגיה	2:פריבילגיה
w1845	produce	לייצר; תוצר, ירקות ופירות	לייצר | תוצרת | להפיק	2:תוצרת | 3:להפיק
w1847	promotion	קידום	קידום | מבצע	2:מבצע
w1850	provoke	להתגרות, להסית	לעורר | להתגרות	1:לעורר
w1851	publisher	מוציא לאור	מוציא לאור | הוצאה לאור	2:הוצאה לאור
w1852	purse	ארנק	ארנק | תיק יד	2:תיק יד
w1855	rarely	לעיתים נדירות	לעתים רחוקות	1:לעתים רחוקות
w1857	razor	סכין גילוח	תער	1:תער
w1858	reasonable	הגיוני	סביר | הגיוני	1:סביר
w1861	recognition	הכרה	הכרה | זיהוי	2:זיהוי
w1862	recover	להתאושש	להחלים | להתאושש | לשחזר	1:להחלים | 3:לשחזר
w1863	reference	התייחסות, הפניה	התייחסות | מקור | המלצה	2:מקור | 3:המלצה
w1865	registration	הרשמה	הרשמה | רישום	2:רישום
w1867	relative	קרוב-משפחה; יחסי	קרוב משפחה | יחסי	1:קרוב משפחה
w1871	require	לדרוש, דרישה	לדרוש | להצריך	2:להצריך
w1872	reserve	עתודה, מילואים; לשמור; שמורה	להזמין מראש | לשמור | רזרבה	1:להזמין מראש | 3:רזרבה
w1874	resist	להתנגד	להתנגד | לעמוד בפני	2:לעמוד בפני
w1875	resistance	התנגדות, מחתרת	התנגדות | עמידות	2:עמידות
w1876	resort	אתר נופש; לנקוט באמצעים	אתר נופש | לנקוט	2:לנקוט
w1879	reveal	לחשוף	לחשוף | לגלות	2:לגלות
w1881	ritual	טקס, פולחן	טקס | טקסי	2:טקסי
w1882	rival	יריב	יריב | מתחרה | להתחרות	2:מתחרה | 3:להתחרות
w1885	rub	לשפשף	לשפשף | שפשוף	2:שפשוף
w1887	ruins	הריסות, עיי חורבות	חורבה	1:חורבה
w1889	sailor	ימאי	מלח	1:מלח
w1890	satellite	לווין	לוויין	1:לוויין
w1891	satisfaction	שביעות רצון	סיפוק | שביעות רצון	1:סיפוק
w1892	satisfy	לרצות, לספק	לספק | להשביע רצון	2:להשביע רצון
w1894	secure	להבטיח, לשמור, להגן	בטוח | לאבטח | להשיג	1:בטוח | 2:לאבטח | 3:להשיג
w1895	sequence	רצף	רצף | סדרה	2:סדרה
w1897	session	מפגש, פגישה; מושב	מפגש | ישיבה	2:ישיבה
w1898	sheet	סדין; דף	סדין | גיליון	2:גיליון
w1900	shelter	מקלט	מחסה | מקלט	1:מחסה
w1901	shiny	נוצץ, בוהק	מבריק | נוצץ	1:מבריק
w1902	shrink	לכווץ ,כיווץ	להתכווץ | פסיכיאטר	1:להתכווץ | 2:פסיכיאטר
w1903	significant	משמעותי	משמעותי | ניכר | חשוב	2:ניכר | 3:חשוב
w1906	sketch	שרטוט, איור, סקיצה	סקיצה | לשרטט	2:לשרטט
w1908	spill	לשפוך	לשפוך | דליפה	2:דליפה
w1912	stable	יציב	יציב | אורווה	2:אורווה
w1913	stack	ערמה	ערימה | לערום	1:ערימה | 2:לערום
w1915	stamp	בול, חותמת	בול | להטביע	2:להטביע
w1916	starve	לרעוב	לרעוב | להרעיב	2:להרעיב
w1918	steel	פלדה	פלדה | להתחשל	2:להתחשל
w1919	sticky	דביק	דביק | בעייתי	2:בעייתי
w1920	straighten	ליישר	ליישר | להזדקף	2:להזדקף
w1922	strict	נוקשה	קפדני | נוקשה	1:קפדני
w1923	stripes	פסים	פס | דרגה	1:פס | 2:דרגה
w1924	struggle	מאבק, מאמץ	להיאבק | מאבק	1:להיאבק
w1926	stunt	פעלול	תרגיל מסוכן | לעכב	1:תרגיל מסוכן | 2:לעכב
w1929	succeed	הצליח	להצליח | לרשת	1:להצליח | 2:לרשת
w1932	supportive	תומך	תומך | מעודד	2:מעודד
w1933	supreme	עליון	עליון | עילאי	2:עילאי
w1934	suspicious	חשוד (משהו)	חשדן | חשוד	1:חשדן
w1935	swallow	לבלוע	לבלוע | סנונית	2:סנונית
w1936	swing	לנדנד, נדנדה	להתנדנד | נדנדה	1:להתנדנד
w1938	territory	תחום, שטח	שטח | טריטוריה	2:טריטוריה
w1941	toes	בהונות	אצבע רגל | בוהן	1:אצבע רגל | 2:בוהן
w1943	toward	אל, אל עבר	לכיוון | לעבר	1:לכיוון | 2:לעבר
w1944	traffic jam	פקק תנועה	פקק | פקק תנועה	1:פקק
w1945	transition	מעבר, שינוי	מעבר | לעבור	2:לעבור
w1946	trigger	הדק	לגרום | הדק | להפעיל	1:לגרום | 3:להפעיל
w1947	triggered	גרם, עורר, הוביל ל-	לגרום | להפעיל | לעורר	1:לגרום | 2:להפעיל | 3:לעורר
w1948	twist	סיבוך, סיבוב	לפתל | תפנית	1:לפתל | 2:תפנית
w1950	ultimate	מוחלט, סופי	סופי | מוחלט | עליון	3:עליון
w1951	uncertain	לא בטוח	לא בטוח | מסופק	2:מסופק
w1953	unfortunate	מצער	מצער | ביש מזל	2:ביש מזל
w1954	unlike	שלא כמו	בניגוד ל | שונה	1:בניגוד ל | 2:שונה
w1955	unnecessary	לא הכרחי	מיותר	1:מיותר
w1958	valid	תקף	תקף | הגיוני	2:הגיוני
w1959	valuable	יקר ערך	יקר ערך | חשוב	2:חשוב
w1960	variety	מבחר, מגוון	מגוון | זן	2:זן
w1961	various	מגוון	מגוון | שונה	2:שונה
w1966	warmth	חום	חום | חמימות	2:חמימות
w1970	weigh	לשקול	לשקול | להכביד	2:להכביד
w1972	whistle	משרוקית, לשרוק	לשרוק | משרוקית | שריקה	3:שריקה
w1974	wisdom	חכמה, בינה	חוכמה	1:חוכמה
w1977	absence	היעדרות, היעדר; אי-נוכחות	היעדרות | העדר	2:העדר
w1978	abuse	התעללות, ניצול; להתעלל, לנצל	התעללות | להתעלל | שימוש לרעה	3:שימוש לרעה
w1979	account	חשבון; דיווח, תיאור; account for — להסביר; take into account — להתחשב	חשבון | תיאור | להסביר	3:להסביר
w1980	accurate	מדויק	מדויק | נכון	2:נכון
w1981	actual	ממשי	ממשי | אמיתי	2:אמיתי
w1984	admit	להודות; להכניס, לקבל לתוך קבוצה	להודות | לקבל	2:לקבל
w1989	ally (allies)	בן-ברית (בנות-ברית)	בעל ברית	1:בעל ברית
w1992	announcement	הכרזה	הודעה	1:הודעה
w1995	apparently	כנראה	כנראה | לכאורה	2:לכאורה
w1999	approach	גישה, שיטה; להתקרב, לפנות אל	גישה | לגשת | להתקרב	2:לגשת
w2000	appropriate	מתאים	מתאים | הולם	2:הולם
w2005	as far as	לגבי, בכל הנוגע ל-	ככל ש	1:ככל ש
w2007	associate	לקשר	לקשר | עמית	2:עמית
w2008	assume	להניח	להניח | לקחת על עצמו	2:לקחת על עצמו
w2009	attend	להשתתף, להיות נוכח	להשתתף | לטפל	2:לטפל
w2010	attorney	עורך-דין	עורך דין	1:עורך דין
w2013	barn	אסם	אסם | רפת	2:רפת
w2015	belief	אמונה	אמונה | דעה	2:דעה
w2016	bend	לכופף	לכופף | עיקול	2:עיקול
w2018	bent	כופף	כפוף | נחוש	1:כפוף | 2:נחוש
w2019	berry	גרגרי יער	גרגר | פרי יער	1:גרגר | 2:פרי יער
w2020	betray	לבגוד	לבגוד | לחשוף	2:לחשוף
w2021	biblical	תנ"כי	מקראי | תנכי	1:מקראי | 2:תנכי
w2022	blame	להאשים	להאשים | אשמה	2:אשמה
w2023	blanket	שמיכה	שמיכה | לכסות	2:לכסות
w2024	blew	נשב (רוח), ניפח, פוצץ	לנשוב	1:לנשוב
w2025	blow, blew	לנשוף, נשף; לפוצץ, פוצץ	לנשוף | מכה | להתפוצץ	2:מכה | 3:להתפוצץ
w2027	bold	אמיץ, חצוף; מודגש	נועז | מודגש	1:נועז
w2030	broad	נרחב	רחב | כללי	1:רחב | 2:כללי
w2031	broadcast	לשדר	לשדר | שידור	2:שידור
w2032	butcher	קצב; לשחוט	קצב | לטבוח	2:לטבוח
w2034	capable	מסוגל, יכול	מסוגל | כשיר	2:כשיר
w2035	capital	עיר בירה; אות גדולה; ראשי, משמעותי; הון	בירה | הון | ראשי	1:בירה
w2038	clash	התנגשות	להתנגש | התנגשות	1:להתנגש
w2039	clay	חימר	חימר | חרסית	2:חרסית
w2044	collapse	להתמוטט	לקרוס | להתמוטט | קריסה	1:לקרוס | 3:קריסה
w2050	compromise	להתפשר	פשרה | להתפשר | לסכן	1:פשרה | 3:לסכן
w2051	concern	דאגה, עניין	דאגה | עניין | להדאיג	3:להדאיג
w2052	conclusion	מסקנה	מסקנה | סיום	2:סיום
w2054	confess	להודות	להודות | להתוודות	2:להתוודות
w2055	confession	וידוי	הודאה | וידוי	1:הודאה
w2056	construct	לבנות	לבנות | מבנה	2:מבנה
w2057	contest	תחרות; לערער על, לחלוק על; להתמודד על	תחרות | לערער	2:לערער
w2058	contrary	להפך, בניגוד ל-	מנוגד | הפך	1:מנוגד | 2:הפך
w2059	convenient	נוח	נוח | מתאים	2:מתאים
w2060	copper	נחושת	נחושת | שוטר	2:שוטר
w2061	correlate	לתאם, לקשר	להתאים | לקשר	1:להתאים
w2066	critique	ביקורת	ביקורת | לבקר	2:לבקר
w2069	dawn	שחר	שחר | להבין	2:להבין
w2072	declare	להכריז	להכריז | להצהיר	2:להצהיר
w2073	decorate	לקשט	לקשט | לעטר	2:לעטר
w2074	decrease	ירידה, הפחתה; להפחית, לצמצם	לרדת | להפחית | ירידה	1:לרדת
w2075	dedicated	מסור; מוקדש ל-	מסור | להקדיש	2:להקדיש
w2077	demographic	דמוגרפי	דמוגרפי | פלח אוכלוסייה	2:פלח אוכלוסייה
w2078	department-store	חנות כלבו	כלבו	1:כלבו
w2079	deposit	להפקיד, פיקדון	פיקדון | להפקיד | מקדמה	3:מקדמה
w2081	determine	לקבוע	לקבוע | לברר	2:לברר
w2082	differ	להיבדל, לחלוק	להיות שונה | לחלוק על	1:להיות שונה | 2:לחלוק על
w2083	discipline	תחום לימוד/מחקר; להעניש, לחנך, משמעת	משמעת | תחום | להעניש	2:תחום
w2084	discomfort	אי-נוחות	אי נוחות | מבוכה	1:אי נוחות | 2:מבוכה
w2085	disguise	תחפושת	תחפושת | להסוות	2:להסוות
w2086	disloyal	לא נאמן	בוגדני | לא נאמן	1:בוגדני
w2088	doorstep	מפתן הדלת	מפתן	1:מפתן
w2090	draft	גיוס; טיוטה; משיכה; רוח פרצים	טיוטה | לנסח | גיוס	2:לנסח
w2091	dull	סתום; משעמם; עמום	משעמם | קהה | עמום	2:קהה
w2092	duplicate	לשכפל	לשכפל | העתק	2:העתק
w2093	e.g.	לדוגמה	לדוגמה | למשל	2:למשל
w2094	eccentric	מוזר, אקסצנטרי	תמהוני | משונה	1:תמהוני | 2:משונה
w2098	encounter	להיתקל ב-, לפגוש; מפגש, היתקלות	להיתקל | מפגש	1:להיתקל
w2100	endangered	בסכנת הכחדה	בסכנת הכחדה | לסכן	2:לסכן
w2102	engagement	התחייבות; אירוסין	מעורבות | אירוסין	1:מעורבות
w2105	ensure	להבטיח	להבטיח | לוודא	2:לוודא
w2113	establish	לייסד	לייסד | להקים | לבסס	2:להקים | 3:לבסס
w2114	every now and then	לפעמים	מדי פעם	1:מדי פעם
w2115	evolutionary	התפתחותי	אבולוציוני	1:אבולוציוני
w2119	facility	מתקן	מתקן | קלות	2:קלות
w2120	fade	לדהות, לדעוך	לדהות | להיעלם	2:להיעלם
w2123	fancy	מחבב; מגונדר	מפואר | לחבב	1:מפואר | 2:לחבב
w2124	faulty	לקוי, לא תקין	פגום | לקוי	1:פגום
w2125	favored	מועדף	מועדף | להעדיף	2:להעדיף
w2126	figure	גזרה, צורה; ספרה, מספר; דמות; לחשב, להניח, להסיק	מספר | דמות | להבין	3:להבין
w2127	finalize	לסכם, לגבש	לסיים | לגבש	1:לסיים
w2128	folk	עממי	עממי | אנשים	2:אנשים
w2129	for the most part	בדרך-כלל	בעיקר	1:בעיקר
w2130	forecast	תחזית	תחזית | לחזות	2:לחזות
w2131	forgettable	שאפשר לשכוח אותו	נשכח	1:נשכח
w2135	fortunate	בעל מזל	בר מזל	1:בר מזל
w2137	fulfill	להגשים	למלא | להגשים	1:למלא
w2139	gamble	הימר	להמר | הימור	1:להמר | 2:הימור
w2141	genuine	אמיתי, מקורי	אמיתי | כן	2:כן
w2142	gesture	מחווה	מחווה | תנועת יד	2:תנועת יד
w2143	given that	בהתחשב בכך	בהינתן ש | מאחר ש	1:בהינתן ש | 2:מאחר ש
w2144	graduate	לסיים לימודים	בוגר | לסיים לימודים	1:בוגר
w2145	gross	ברוטו, גלמי; ענק, דוחה	גועלי | ברוטו | גס	1:גועלי | 3:גס
w2148	gymnasium	אולם ספורט	אולם התעמלות | חדר כושר	1:אולם התעמלות | 2:חדר כושר
w2150	hardly ever	כמעט אף פעם	לעיתים רחוקות	1:לעיתים רחוקות
w2151	harmless	שאינו מזיק	לא מזיק | תמים	1:לא מזיק | 2:תמים
w2152	harsh	נוקשה, אכזרי	קשה | חמור	1:קשה | 2:חמור
w2154	hilarious	מצחיק	מצחיק מאוד | משעשע	1:מצחיק מאוד | 2:משעשע
w2155	horrific	אָיוֹם	מזעזע | איום	1:מזעזע
w2158	imaginative	בעל דמיון עשיר, יצירתי, מלא דמיון	יצירתי | בעל דמיון	2:בעל דמיון
w2160	import	לייבא	לייבא | ייבוא | חשיבות	2:ייבוא | 3:חשיבות
w2162	in a word	במילה אחת	בקיצור | במילה אחת	1:בקיצור
w2163	in contrast to	בניגוד ל-	בניגוד ל	1:בניגוד ל
w2164	in favor of	לטובת	בעד	1:בעד
w2167	inclusive	כולל	מכיל | כוללני	1:מכיל | 2:כוללני
w2168	index	מדד; מפתח (רשימת ערכים אלפביתית בסוף ספר)	מדד | אינדקס	2:אינדקס
w2169	indicate	להצביע על	לציין | להצביע על	1:לציין
w2171	influential	רב-השפעה	משפיע	1:משפיע
w2172	inject	להזריק	להזריק | להחדיר	2:להחדיר
w2173	injure	לפצוע	לפצוע | לפגוע	2:לפגוע
w2176	insist	להתעקש	להתעקש | לדרוש	2:לדרוש
w2178	integrate	לשלב	לשלב | להשתלב	2:להשתלב
w2184	involve	לערב	לכלול | לערב	1:לכלול
w2185	jog	ריצה, ג'וגינג, לרוץ	לרוץ | לרענן	2:לרענן
w2188	judgment	שיפוט	שיפוט | שיקול דעת | פסק דין	2:שיקול דעת | 3:פסק דין
w2189	just	מדויק, אמיתי; רק, בלבד; צודק, הוגן	רק | בדיוק | צודק	2:בדיוק
w2190	lane	מסלול	נתיב	1:נתיב
w2193	legalize	להפוך חוקי, לאשר	להכשיר | להסדיר	1:להכשיר | 2:להסדיר
w2195	lengthy	ארוך, מייגע	ארוך | ממושך	2:ממושך
w2197	limitation	מגבלה	הגבלה | מגבלה	1:הגבלה
w2202	luggage	מזוודות	כבודה | מזוודה	1:כבודה | 2:מזוודה
w2206	maintain	לשמור על, לתחזק; לטעון, לגרוס	לשמור | לתחזק | לטעון	1:לשמור
w2207	mandate	מנדט, ייפוי כוח	מנדט | לחייב	2:לחייב
w2208	manner	התנהגות, אופן	אופן | דרך	2:דרך
w2210	marine	ימי	ימי | נחת	2:נחת
w2213	memorial	אנדרטה, מונומנט הנצחה; אזכרה; של זיכרון	אנדרטה | הנצחה	2:הנצחה
w2216	migrate	להגר	לנדוד | להגר	1:לנדוד
w2219	modernize	להפוך למודרני	לחדש | לעדכן	1:לחדש | 2:לעדכן
w2222	monumental	גדול, אדיר	אדיר | כביר	2:כביר
w2226	nationality	לאום	לאום | אזרחות	2:אזרחות
w2227	negotiate	לשאת ולתת	לנהל מו"מ | להתמקח	1:לנהל מו"מ | 2:להתמקח
w2229	nominated	מועמד	למנות	1:למנות
w2231	novel	רומן, סיפור; חדש	רומן | חדשני	2:חדשני
w2232	objection	התנגדות	התנגדות | הסתייגות	2:הסתייגות
w2234	occur	קרה, התרחש	להתרחש | לקרות	1:להתרחש | 2:לקרות
w2236	odd	מוזר; אי זוגי	מוזר | אי-זוגי	2:אי-זוגי
w2238	on the contrary	להפך, אדרבא, נהפוך הוא	להיפך	1:להיפך
w2239	once in a while	מידי פעם	מדי פעם | לפעמים	1:מדי פעם | 2:לפעמים
w2241	oppose	להתנגד ל-, להתייצב נגד	להתנגד	1:להתנגד
w2242	orchestrate	לתאם, לתזמר	לתזמר | לארגן	2:לארגן
w2243	ordinary	רגיל	רגיל | פשוט	2:פשוט
w2244	organ	אורגן (כלי נגינה); איבר	איבר | עוגב	2:עוגב
w2245	orientation	התמצאות	התמצאות | כיוון	2:כיוון
w2252	passive	סביל	פסיבי | סביל	1:פסיבי
w2255	permit	אישור, רישיון; להרשות	להתיר | רישיון	1:להתיר
w2258	pit	בור	בור | גלעין	2:גלעין
w2259	plague	מגפה	מגפה | להטריד	2:להטריד
w2260	plot	עלילה; חלקה (חלקת אדמה); להכין תרשים; לזמום, לקשור קשר	עלילה | מגרש | לזמם	2:מגרש | 3:לזמם
w2262	polish	פולני; להבריק, לצחצח	לצחצח | ליטוש	2:ליטוש
w2263	possession	בעלות, חזקה	רכוש | חזקה	1:רכוש
w2265	praise	לשבח	לשבח | שבח	2:שבח
w2267	preferable	עדיף	עדיף | מועדף	2:מועדף
w2271	prior	קודם	קודם | לפני	2:לפני
w2273	procedure	הליך, נוהל	הליך | נוהל | תהליך	3:תהליך
w2275	progressive	מתקדם ומתמשך	מתקדם | פרוגרסיבי	1:מתקדם | 2:פרוגרסיבי
w2276	property	תכונה; רכוש	רכוש | נכס | תכונה	2:נכס
w2277	publication	פרסום; מאמר/כתב עת שפורסם; הוצאה לאור	פרסום | כתב עת	2:כתב עת
w2280	radically	באופן קיצוני	באופן קיצוני | מהיסוד	2:מהיסוד
w2281	rather	עדיף; למדי	די | למדי	1:די
w2282	recall	להיזכר; להחזיר, להשיב צלצול	לזכור | להיזכר	1:לזכור
w2283	refund	החזר	החזר כספי | להחזיר	1:החזר כספי | 2:להחזיר
w2285	refuse	אשפה, זבל; לסרב	לסרב | פסולת	2:פסולת
w2286	remains	נשאר, עדיין; שרידים	להישאר | שריד	1:להישאר | 2:שריד
w2287	remarkable	ראוי לציון, יוצא דופן	יוצא דופן | מדהים	2:מדהים
w2289	reservation	שמורה; שריון מקום	הזמנה | הסתייגות	1:הזמנה | 2:הסתייגות
w2292	result in	הסתיים ב-	לגרום ל | להוביל ל	1:לגרום ל | 2:להוביל ל
w2294	retreat	לסגת, נסיגה	לסגת | נסיגה | מפלט	3:מפלט
w2295	revolutionary	מהפכני	מהפכני | מהפכן	2:מהפכן
w2296	rubbish	זבל; שטויות	זבל | אשפה	2:אשפה
w2299	scale	מאזניים; לעלות, לטפס; סולם, סקלה	קנה מידה | מאזניים | לטפס	1:קנה מידה
w2303	severe	חמור	חמור | קשה	2:קשה
w2310	slight	קל, מעט	קל | זעיר | להעליב	2:זעיר | 3:להעליב
w2311	snap	להישבר; במהירות (סלנג)	להישבר | תצלום | לצלם	2:תצלום | 3:לצלם
w2312	sober	פיכח	מפוכח | רציני	1:מפוכח | 2:רציני
w2313	sophisticated	מתוחכם	מתוחכם | מתורבת	2:מתורבת
w2317	spectacular	מדהים	מרהיב | מרשים	1:מרהיב | 2:מרשים
w2318	spontaneously	ללא תכנון	ספונטנית	1:ספונטנית
w2319	spring	מעיין; אביב	אביב | מעיין | קפיץ	3:קפיץ
w2322	steam	אד, לאדות	קיטור | אדים | לאדות	1:קיטור | 2:אדים
w2324	strike	הכה, התקיף; שביתה	להכות | שביתה | לפגוע	1:להכות | 3:לפגוע
w2325	stun	להמם	להמם | לזעזע	2:לזעזע
w2326	subjective	אישי, משוחד בדעתו	סובייקטיבי	1:סובייקטיבי
w2328	superior	עליון	עדיף | ממונה	1:עדיף | 2:ממונה
w2330	suspense	השהיה, מתח	מתח | דריכות	2:דריכות
w2331	sweep	לטאטא	לטאטא | לגרוף	2:לגרוף
w2332	temple	מקדש	מקדש | רקה	2:רקה
w2333	tend	נוטה	לנטות | לטפל	1:לנטות | 2:לטפל
w2335	terminate	לסיים, לחסל	לסיים | להפסיק	2:להפסיק
w2336	throughout	במשך, בכל	לאורך כל | בכל רחבי	1:לאורך כל | 2:בכל רחבי
w2337	thus	לכן, כך ש-	לכן | לפיכך	2:לפיכך
w2338	to begin with	בתור התחלה	ראשית	1:ראשית
w2339	trace	סימן, עִקְבָה; לעקוב, למצוא	שריד | לאתר	1:שריד | 2:לאתר
w2341	trial	נסיון; משפט	משפט | ניסוי	2:ניסוי
w2344	unattractive	לא מושך	לא מושך | לא אטרקטיבי	2:לא אטרקטיבי
w2345	unconscious	מחוסר הכרה	מחוסר הכרה | לא מודע	2:לא מודע
w2346	uncountable	אינספור	אינספור | בלתי ספיר	2:בלתי ספיר
w2350	unfamiliar	לא מוכר	לא מוכר | זר	2:זר
w2356	unorthodox	לא שגרתי, לא מקובל	לא שגרתי | חריג	2:חריג
w2357	unwilling	לא מוכן, ממאן	לא מוכן | לא מעוניין	2:לא מעוניין
w2361	vertical	מאונך	אנכי	1:אנכי
w2363	visualize	לדמיין	לדמיין | להמחיש	2:להמחיש
w2366	volume	נפח; כרך; עוצמת קול	נפח | עוצמה | כרך	2:עוצמה
w2368	withdraw	לסגת, לפרוש	לסגת | למשוך | לפרוש	2:למשוך
w2377	adore	העריץ, אהב	להעריץ | לאהוב מאוד	1:להעריץ | 2:לאהוב מאוד
w2381	agony	ייסורים	ייסורים | סבל	2:סבל
w2382	align	להסתדר בשורה	ליישר | להתאים	1:ליישר | 2:להתאים
w2385	amusement	שעשוע	שעשוע | בידור	2:בידור
w2386	anchor	עוגן	עוגן | לעגון | קריין	2:לעגון | 3:קריין
w2388	antique	עתיק, ענתיקה	עתיק | עתיקה	2:עתיקה
w2390	applicant	מועמד	מועמד | מבקש	2:מבקש
w2391	artifact	חפץ מעשה ידי אדם, מוצג ארכיאולוגי	חפץ | ממצא	1:חפץ | 2:ממצא
w2394	asset	נכס	נכס | יתרון	2:יתרון
w2395	assign	למנות, להקצות	להקצות | להטיל	2:להטיל
w2396	authorize	להרשות, להסמיך	להסמיך | לאשר	2:לאשר
w2400	bandage	תחבושת	תחבושת | לחבוש	2:לחבוש
