# צבירה חוצת-מבחנים · קורפוס=22 מבחנים · פריטים ייחודיים=4254
מנורמל	ייצוג	סוג	תוצאה	התאמה	מועדים	הופעות	ממוצע-שאלה	ציטוטים
ומתישה	ומתישה	completion	miss		1	1	0.0	2019_winter·פרק2·ש8·אפשרות 1
ומתנגדיהם	ומתנגדיהם	completion	close	מתנ	1	1	0.0	summer_2025·פרק2·ש7·אפשרות 2
ונוסף	ונוסף	completion	miss		1	1	0.0	spring_2022·פרק2·ש17·אפשרות 1
ונתונות	ונתונות	completion	close	נתנ	1	1	0.0	autumn_2023·פרק2·ש15·אפשרות 3
וסותר	וסותר	completion	full	סתור	1	1	0.0	summer_2026·פרק1·ש8·אפשרות 4
ועד	ועד	completion	close	ועד	1	1	0.0	autumn_2021·פרק1·ש11·אפשרות 4
ועוד	ועוד	completion	close	ועד	1	1	0.0	2019_winter·פרק1·ש15·אפשרות ?
ועומד	ועומד	completion	close	עמד	1	1	0.0	2020_winter·פרק2·ש11·אפשרות 2
ועורר	ועורר	completion	close	ערר	1	1	0.0	summer_2023·פרק2·ש16·אפשרות 2
ועירנות	ועירנות	completion	miss		1	1	0.0	spring_2023·פרק1·ש12·אפשרות 4
ועם	ועם	completion	miss		1	1	0.0	spring_2024·פרק2·ש11·אפשרות 2
ועמים	ועמים	completion	full	עמום	1	1	0.0	autumn_2025·פרק2·ש?·אפשרות 2
וענבים	וענבים	completion	miss		1	1	0.0	summer_2022·פרק1·ש10·אפשרות 1
וענייני	וענייני	completion	miss		1	1	0.0	2020_spring·פרק1·ש9·אפשרות 4
וצבעוני	וצבעוני	completion	close	צבע	1	1	0.0	spring_2022·פרק1·ש9·אפשרות 2
וצעד	וצעד	completion	close	צעד	1	1	0.0	autumn_2024·פרק2·ש13·אפשרות 4
וקולר	וקולר	completion	miss		1	1	0.0	spring_2023·פרק1·ש13·אפשרות 4
ורוגע	ורוגע	completion	miss		1	1	0.0	spring_2023·פרק1·ש12·אפשרות 1
ורחב	ורחב	completion	close	רחב	1	1	0.0	2020_summer·פרק1·ש8·אפשרות ?
ושוקעים	ושוקעים	completion	miss		1	1	0.0	2019_spring·פרק2·ש13·אפשרות ?
ושזיפים	ושזיפים	completion	full	שזף	1	1	0.0	summer_2022·פרק1·ש10·אפשרות 4
ושלווה	ושלווה	completion	full	שלה	1	1	0.0	summer_2024·פרק1·ש15·אפשרות 2
ושלושים	ושלושים	completion	miss		1	1	0.0	summer_2024·פרק1·ש17·אפשרות 1
ותהליך	ותהליך	completion	close	הלכ	1	1	0.0	2020_autumn·פרק2·ש17·אפשרות 2
ותומך	ותומך	completion	close	תמכ	1	1	0.0	summer_2024·פרק1·ש15·אפשרות 1
ותרן	ותרן	analogy	full	ותרן	1	1	1.0	summer_2022·פרק2·ש1·מסיח 4
זבן	זבן	analogy	full	זבן	1	1	2.0	2020_spring·פרק2·ש2·מסיח 3
זברה	זברה	analogy	miss		1	1	3.0	spring_2024·פרק2·ש3·מסיח 1
זהה	זהה	completion	miss		1	1	0.0	summer_2021·פרק1·ש10·אפשרות 2
זהים	זהים	analogy	miss		1	1	3.0	spring_2025·פרק2·ש3·מסיח 1
זולתו	זולתו	completion	miss		1	1	0.0	2019_spring·פרק2·ש13·אפשרות ?
זועם	זועם	analogy	miss		1	1	1.0	summer_2026·פרק2·ש1·מסיח 1
זורם	זורם	analogy	miss		1	1	6.0	autumn_2025·פרק1·ש6·רגל
זורמת	זורמת	completion	miss		1	1	0.0	summer_2024·פרק2·ש10·אפשרות 1
זחל	זחל	analogy	miss		1	1	2.0	spring_2025·פרק1·ש2·מסיח 2
זיהוי	זיהוי	completion	miss		1	1	0.0	spring_2024·פרק1·ש18·אפשרות 3
זיהום	זיהום	completion	miss		1	1	0.0	spring_2024·פרק1·ש17·אפשרות 3
זיכוי	זיכוי	analogy	miss		1	1	2.0	autumn_2025·פרק1·ש2·רגל
זיקה	זיקה	analogy	miss		1	1	3.0	2020_spring·פרק1·ש3·רגל
זכוכית	זכוכית	analogy	close	זככ	1	1	1.0	winter_2022·פרק2·ש1·מסיח 2
זכר	זכר	analogy	close	זכר	1	1	4.0	2020_spring·פרק2·ש4·מסיח 1
זכתה	זכתה	completion	miss		1	1	0.0	summer_2026·פרק2·ש13·אפשרות 2
זלזול	זלזול	completion	full	זלזל	1	1	0.0	summer_2021·פרק2·ש10·אפשרות 2
זלזל	זלזל	analogy	full	זלזל	1	1	1.0	spring_2023·פרק2·ש1·מסיח 4
זמזום	זמזום	analogy	miss		1	1	2.0	summer_2023·פרק1·ש2·מסיח 2
זמנם	זמנם	completion	miss		1	1	0.0	summer_2026·פרק2·ש12·אפשרות 3
זמר	זמר	analogy	close	זמר	1	1	5.0	2020_winter·פרק2·ש5·מסיח 1
זמרה	זמרה	analogy	close	זמר	1	1	3.0	summer_2023·פרק2·ש3·מסיח 1
זנב	זנב	analogy	miss		1	1	2.0	spring_2025·פרק1·ש2·מסיח 4
זעום	זעום	completion	miss		1	1	0.0	2019_winter·פרק1·ש15·אפשרות ?
זעיר	זעיר	analogy	miss		1	1	6.0	2019_winter·פרק1·ש6·מסיח 3
זקוקים	זקוקים	completion	full	זיקק	1	1	0.0	summer_2022·פרק1·ש9·אפשרות 1
זקף	זקף	analogy	full	זקף	1	1	5.0	autumn_2023·פרק1·ש5·מסיח 3
זרה	זרה	completion	full	זרה	1	1	0.0	2020_winter·פרק2·ש10·אפשרות 1
זרה חול בעיניו	זרה חול בעיניו	analogy	close	זרה	1	1	3.0	summer_2022·פרק1·ש3·מסיח 1
זרעים	זרעים	analogy	close	רעמ	1	1	4.0	2019_winter·פרק2·ש4·מסיח 1
חבישה	חבישה	analogy	close	חבש	1	1	3.0	summer_2023·פרק2·ש3·מסיח 4
חבץ	חבץ	analogy	close	חבצ	1	1	5.0	summer_2026·פרק2·ש5·מסיח 1
חברבורה	חברבורה	analogy	miss		1	1	5.0	spring_2022·פרק2·ש5·רגל
חברבורות	חברבורות	analogy	miss		1	1	3.0	spring_2024·פרק2·ש3·רגל
חברות	חברות	completion	miss		1	1	0.0	autumn_2025·פרק2·ש?·אפשרות 2
חבריו	חבריו	completion	miss		1	1	0.0	2019_spring·פרק2·ש13·אפשרות ?
חברים	חברים	completion	close	ברמ	1	1	0.0	2019_spring·פרק2·ש13·אפשרות ?
חברתיות	חברתיות	completion	miss		1	1	0.0	summer_2024·פרק2·ש9·אפשרות 2
חברתיים	חברתיים	completion	close	רתמ	1	1	0.0	summer_2025·פרק2·ש7·אפשרות 1
חג	חג	analogy	full	חג	1	1	5.0	autumn_2023·פרק1·ש5·מסיח 1
חד	חד	completion	miss		1	1	0.0	summer_2022·פרק1·ש10·אפשרות 1
חד עין	חד עין	analogy	close	עין	1	1	1.0	summer_2024·פרק2·ש1·רגל
חדווה	חדווה	completion	full	חדוה	1	1	0.0	summer_2026·פרק1·ש8·אפשרות 4
חדר	חדר	analogy	miss		1	1	3.0	summer_2021·פרק1·ש3·מסיח 2
חדר אוכל	חדר אוכל	analogy	close	אכל	1	1	1.0	spring_2025·פרק1·ש1·מסיח 3
חדר הלבשה	חדר הלבשה	analogy	miss		1	1	1.0	spring_2025·פרק1·ש1·מסיח 1
חדר ישיבות	חדר ישיבות	analogy	close	ישב	1	1	1.0	spring_2025·פרק1·ש1·מסיח 2
חדר כושר	חדר כושר	analogy	close	כושר	1	1	1.0	spring_2025·פרק1·ש1·מסיח 4
חדשות	חדשות	completion	miss		1	1	0.0	spring_2025·פרק1·ש11·אפשרות 3
חדשנות	חדשנות	completion	close	שנת	1	1	0.0	winter_2022·פרק2·ש13·אפשרות 3
חוב	חוב	analogy	full	חב	1	1	3.0	2020_spring·פרק2·ש3·רגל
חובב	חובב	completion	miss		1	1	0.0	winter_2022·פרק1·ש8·אפשרות 2
חובבנית	חובבנית	completion	miss		1	1	0.0	autumn_2021·פרק1·ש10·אפשרות 4
חובל	חובל	analogy	close	חבל	1	1	2.0	spring_2022·פרק1·ש2·מסיח 1
חובש	חובש	analogy	full	חבש	1	1	4.0	2019_spring·פרק2·ש4·לא-זוהה
חודש	חודש	analogy	miss		1	1	2.0	winter_2022·פרק1·ש2·מסיח 2
חוויה	חוויה	completion	miss		1	1	0.0	summer_2021·פרק1·ש11·אפשרות 4
חוויית	חוויית	completion	full	חת	1	1	0.0	spring_2024·פרק1·ש16·אפשרות 4
חוטים	חוטים	analogy	full	חט	1	1	5.0	spring_2023·פרק1·ש5·מסיח 3
חוטם	חוטם	analogy	full	חוטם	1	1	5.0	2020_summer·פרק1·ש5·מסיח 2
חולי	חולי	analogy	miss		1	1	2.0	spring_2024·פרק1·ש2·מסיח 2
חוליו	חוליו	completion	miss		1	1	0.0	summer_2022·פרק2·ש17·אפשרות 1
חולקת	חולקת	completion	close	חלק	1	1	0.0	autumn_2024·פרק2·ש13·אפשרות 1
חולשה	חולשה	analogy	miss		1	1	5.0	winter_2022·פרק1·ש5·רגל
חומד לצון	חומד לצון	analogy	full	חמד לצון	1	1	4.0	summer_2025·פרק1·ש4·מסיח 4
חומריים	חומריים	completion	miss		1	1	0.0	autumn_2021·פרק2·ש13·אפשרות 4
חוסך	חוסך	completion	miss		1	1	0.0	spring_2024·פרק1·ש17·אפשרות 3
חופש	חופש	completion	miss		1	1	0.0	winter_2023·פרק1·ש10·אפשרות 3
חוקים	חוקים	completion	full	חווק	1	1	0.0	spring_2022·פרק1·ש10·אפשרות 4
חוקק	חוקק	analogy	full	חקוק	1	1	1.0	autumn_2021·פרק2·ש1·מסיח 2
חורבות	חורבות	analogy	full	חרב	1	1	6.0	spring_2023·פרק2·ש6·רגל
חורים	חורים	analogy	miss		1	1	4.0	summer_2023·פרק2·ש4·מסיח 4
חורר	חורר	analogy	close	חרר	1	1	4.0	summer_2023·פרק2·ש4·מסיח 4
חושב	חושב	completion	miss		1	1	0.0	autumn_2023·פרק2·ש13·אפשרות 4
חושבת	חושבת	completion	miss		1	1	0.0	winter_2023·פרק1·ש11·אפשרות 1
חוששים	חוששים	completion	miss		1	1	0.0	summer_2025·פרק2·ש8·אפשרות 3
חזון נפרץ	חזון נפרץ	analogy	full	חזון נפרץ	1	1	5.0	winter_2023·פרק2·ש5·רגל
חזיונות	חזיונות	completion	full	חיזיון	1	1	0.0	spring_2024·פרק2·ש11·אפשרות 1
חזית	חזית	analogy	miss		1	1	6.0	autumn_2021·פרק2·ש6·מסיח 1
חזקה	חזקה	completion	miss		1	1	0.0	autumn_2021·פרק2·ש14·אפשרות 2
חטוטרת	חטוטרת	analogy	full	חטוטרת	1	1	5.0	2020_winter·פרק2·ש5·רגל
חטים	חטים	analogy	full	חט	1	1	3.0	spring_2024·פרק2·ש3·מסיח 2
חיבור	חיבור	completion	miss		1	1	0.0	winter_2022·פרק2·ש13·אפשרות 3
חיבל	חיבל	analogy	close	חבל	1	1	3.0	summer_2024·פרק2·ש3·מסיח 3
חיוניים	חיוניים	completion	miss		1	1	0.0	summer_2022·פרק1·ש9·אפשרות 3
חיזוק	חיזוק	analogy	miss		1	1	6.0	2019_winter·פרק2·ש6·מסיח 1
חיזיון	חיזיון	completion	full	חיזיון	1	1	0.0	autumn_2021·פרק1·ש11·אפשרות 3
חיזק	חיזק	completion	miss		1	1	0.0	2020_winter·פרק2·ש10·אפשרות 3
חיטא	חיטא	analogy	close	חטא	1	1	4.0	2019_spring·פרק2·ש4·לא-זוהה
חיטה	חיטה	analogy	miss		1	1	4.0	spring_2022·פרק2·ש4·מסיח 2
חייבת	חייבת	completion	miss		1	1	0.0	2020_spring·פרק2·ש9·אפשרות 2
חייכנות	חייכנות	analogy	miss		1	1	6.0	2020_winter·פרק1·ש6·מסיח 1
חייל	חייל	analogy	full	חיל	1	1	2.0	spring_2022·פרק1·ש2·מסיח 2
חימם	חימם	analogy	full	חמום	1	1	4.0	spring_2025·פרק2·ש4·רגל
חירף את נפשו	חירף את נפשו	analogy	close	חירף	1	1	5.0	2020_spring·פרק2·ש5·מסיח 3
חיתן	חיתן	analogy	miss		1	1	6.0	2019_spring·פרק1·ש6·לא-זוהה
חלב	חלב	analogy	full	חלב	1	1	5.0	summer_2026·פרק2·ש5·מסיח 1
חלה	חלה	analogy	miss		1	1	1.0	autumn_2024·פרק1·ש1·מסיח 2
חלופות	חלופות	analogy	full	חולף	1	1	5.0	2020_summer·פרק1·ש5·מסיח 3
חלוק	חלוק	analogy	close	חלק	1	1	3.0	2020_spring·פרק1·ש3·מסיח 3
חלוקים	חלוקים	analogy	close	חלק	1	1	3.0	spring_2025·פרק2·ש3·רגל
חלק הארי	חלק הארי	analogy	full	חלק הארי	1	1	5.0	winter_2022·פרק1·ש5·מסיח 4
חלקה	חלקה	analogy	close	לקה	1	1	6.0	summer_2023·פרק1·ש6·מסיח 2
חלקו	חלקו	completion	close	חלק	1	1	0.0	2019_winter·פרק1·ש13·אפשרות ?
חלקלקות	חלקלקות	analogy	close	חלק	1	1	4.0	summer_2023·פרק1·ש4·מסיח 2
חלשה	חלשה	completion	miss		1	1	0.0	autumn_2021·פרק2·ש14·אפשרות 1
חם מזג	חם מזג	analogy	miss		1	1	1.0	summer_2024·פרק2·ש1·מסיח 4
חמדן	חמדן	analogy	full	חמדן	1	1	2.0	spring_2022·פרק2·ש2·מסיח 3
חמוטל	חמוטל	completion	miss		1	1	0.0	winter_2022·פרק2·ש12·אפשרות 3
חמור	חמור	completion	miss		1	1	0.0	spring_2025·פרק1·ש12·אפשרות 1
חמורות	חמורות	completion	close	מרת	1	1	0.0	summer_2023·פרק2·ש15·אפשרות 4
חמים	חמים	analogy	full	חמום	1	1	5.0	winter_2022·פרק2·ש5·מסיח 3
חמלה	חמלה	completion	full	חמלה	1	1	0.0	2019_spring·פרק2·ש13·אפשרות ?
חממה	חממה	analogy	close	חממ	1	1	1.0	summer_2024·פרק1·ש1·מסיח 2
חמצמץ	חמצמץ	analogy	close	חמצ	1	1	4.0	2020_autumn·פרק1·ש4·מסיח 3
חן	חן	completion	miss		1	1	0.0	winter_2022·פרק2·ש12·אפשרות 3
חנה	חנה	analogy	miss		1	1	2.0	summer_2025·פרק2·ש2·מסיח 1
חניון	חניון	analogy	close	חננ	1	1	3.0	summer_2021·פרק1·ש3·מסיח 4
חנן	חנן	analogy	close	חננ	1	1	6.0	spring_2025·פרק1·ש6·מסיח 1
חסך	חסך	completion	miss		1	1	0.0	2019_winter·פרק1·ש14·אפשרות ?
חסכו	חסכו	completion	miss		1	1	0.0	autumn_2024·פרק2·ש12·אפשרות 1
חסר	חסר	completion	close	חסר	1	1	0.0	2019_spring·פרק2·ש13·אפשרות ?
חסרונותיה	חסרונותיה	completion	close	חסר	1	1	0.0	summer_2022·פרק2·ש16·אפשרות 1
חסרי	חסרי	completion	close	חסר	1	1	0.0	2019_spring·פרק1·ש14·אפשרות ?
חף מפשע	חף מפשע	analogy	miss		1	1	5.0	summer_2026·פרק1·ש5·רגל
חפות	חפות	analogy	full	חפות	1	1	3.0	spring_2025·פרק2·ש3·מסיח 4
חפף	חפף	analogy	close	חפפ	1	1	4.0	2019_spring·פרק2·ש4·לא-זוהה
חץ	חץ	analogy	full	חיץ	1	1	1.0	autumn_2023·פרק2·ש1·מסיח 4
חצוף	חצוף	analogy	miss		1	1	1.0	summer_2026·פרק2·ש1·מסיח 3
חצוצרה	חצוצרה	analogy	close	חצצ	1	1	1.0	winter_2022·פרק2·ש1·מסיח 1
חצייה	חצייה	analogy	miss		1	1	6.0	2020_spring·פרק2·ש6·מסיח 4
חציר	חציר	analogy	miss		1	1	3.0	2020_autumn·פרק1·ש3·מסיח 2
חקיקת	חקיקת	completion	close	חקק	1	1	0.0	spring_2022·פרק1·ש11·אפשרות 1
חרטום	חרטום	analogy	full	חרטום	1	1	3.0	spring_2024·פרק1·ש3·רגל
חריג	חריג	analogy	miss		1	1	6.0	2019_winter·פרק1·ש6·מסיח 4
חריץ	חריץ	analogy	full	חרץ	1	1	5.0	summer_2024·פרק1·ש5·מסיח 2
חרישי	חרישי	analogy	full	חרישי	1	1	4.0	2020_autumn·פרק1·ש4·מסיח 2
חרקים	חרקים	analogy	miss		1	1	5.0	summer_2025·פרק1·ש5·רגל
חש	חש	completion	full	חיש	1	1	0.0	autumn_2021·פרק1·ש11·אפשרות 4
חשאיות	חשאיות	completion	close	חשא	1	1	0.0	summer_2024·פרק2·ש9·אפשרות 4
חשבה	חשבה	completion	close	שבה	1	1	0.0	summer_2023·פרק2·ש16·אפשרות 1
חשובים	חשובים	completion	miss		1	1	0.0	autumn_2024·פרק2·ש13·אפשרות 2
חשיבותו	חשיבותו	completion	miss		1	1	0.0	summer_2023·פרק2·ש16·אפשרות 3
חשמל	חשמל	analogy	miss		1	1	4.0	winter_2022·פרק1·ש4·מסיח 1
חשק את שיניו	חשק את שיניו	analogy	close	חשק	1	1	6.0	autumn_2023·פרק1·ש6·מסיח 2
חשק את שפתיו	חשק את שפתיו	analogy	close	חשק	1	1	5.0	summer_2021·פרק2·ש5·מסיח 1
חשק שפתיו	חשק שפתיו	analogy	full	חשק שפתיו	1	1	5.0	autumn_2021·פרק2·ש5·מסיח 4
חתול	חתול	completion	miss		1	1	0.0	spring_2023·פרק1·ש13·אפשרות 4
חתמו	חתמו	completion	miss		1	1	0.0	winter_2023·פרק1·ש11·אפשרות 4
טאטא	טאטא	analogy	miss		1	1	4.0	2019_spring·פרק2·ש4·רגל
טובים	טובים	completion	miss		1	1	0.0	summer_2025·פרק1·ש14·אפשרות 1
טומן	טומן	analogy	close	טמנ	1	1	6.0	autumn_2025·פרק1·ש6·מסיח 1
טועה	טועה	completion	miss		1	1	0.0	summer_2023·פרק2·ש17·אפשרות 2
טועים	טועים	completion	close	טעמ	1	1	0.0	autumn_2021·פרק2·ש14·אפשרות 1
טוען	טוען	completion	miss		1	1	0.0	winter_2022·פרק1·ש9·אפשרות 1
טורח	טורח	completion	full	טרח	1	1	0.0	spring_2025·פרק2·ש15·אפשרות 2
טורף	טורף	analogy	full	טרף	1	1	1.0	2020_summer·פרק2·ש1·רגל
טיבו	טיבו	completion	miss		1	1	0.0	winter_2022·פרק2·ש12·אפשרות 4
טיגן	טיגן	analogy	miss		1	1	5.0	2020_spring·פרק1·ש5·מסיח 4
טייס	טייס	analogy	full	טס	1	1	2.0	2020_autumn·פרק2·ש2·מסיח 4
טינף	טינף	analogy	miss		1	1	4.0	2020_spring·פרק2·ש4·מסיח 2
טיסה	טיסה	completion	miss		1	1	0.0	2020_summer·פרק2·ש12·אפשרות 2
טיעון	טיעון	analogy	miss		1	1	2.0	autumn_2025·פרק2·ש2·מסיח 4
טיפולים	טיפולים	completion	full	טפל	1	1	0.0	spring_2025·פרק1·ש11·אפשרות 1
טיפות	טיפות	analogy	full	טף	1	1	4.0	summer_2026·פרק1·ש4·מסיח 1
טיפין טיפין	טיפין טיפין	analogy	full	טיפין טיפין	1	1	6.0	summer_2021·פרק1·ש6·מסיח 1
טירון	טירון	analogy	full	טירון	1	1	2.0	spring_2022·פרק1·ש2·מסיח 2
טכני	טכני	completion	miss		1	1	0.0	spring_2022·פרק1·ש9·אפשרות 1
טלאי	טלאי	analogy	full	טלאי	1	1	1.0	spring_2023·פרק1·ש1·מסיח 2
טמפרטורה	טמפרטורה	analogy	miss		1	1	1.0	summer_2022·פרק2·ש1·מסיח 3
טעה	טעה	analogy	miss		1	1	3.0	summer_2022·פרק1·ש3·מסיח 1
טעויות	טעויות	completion	miss		1	1	0.0	spring_2024·פרק1·ש18·אפשרות 1
טעות	טעות	completion	miss		1	1	0.0	winter_2023·פרק1·ש11·אפשרות 4
טעותם	טעותם	completion	miss		1	1	0.0	winter_2022·פרק2·ש14·אפשרות 2
טעים	טעים	analogy	close	טעמ	1	1	6.0	2019_spring·פרק2·ש6·לא-זוהה
טעיתי	טעיתי	completion	miss		1	1	0.0	spring_2022·פרק2·ש16·אפשרות 1
טענו	טענו	completion	close	ענו	1	1	0.0	summer_2022·פרק1·ש9·אפשרות 1
טענות	טענות	completion	miss		1	1	0.0	autumn_2025·פרק2·ש15·אפשרות 4
טענת	טענת	completion	miss		1	1	0.0	summer_2025·פרק1·ש16·אפשרות 2
טענתם	טענתם	completion	miss		1	1	0.0	autumn_2024·פרק2·ש12·אפשרות 4
טפטוף	טפטוף	analogy	miss		1	1	2.0	summer_2023·פרק1·ש2·מסיח 1
טפטף	טפטף	analogy	miss		1	1	2.0	summer_2025·פרק1·ש2·מסיח 2
טפל	טפל	analogy	full	טפל	1	1	2.0	2020_autumn·פרק1·ש2·מסיח 2
טרחו	טרחו	completion	close	טרח	1	1	0.0	spring_2024·פרק1·ש16·אפשרות 3
טרם	טרם	completion	close	טרמ	1	1	0.0	2020_autumn·פרק1·ש13·אפשרות 4
יאחז	יאחז	completion	close	אחז	1	1	0.0	2019_spring·פרק2·ש13·אפשרות ?
יבוא	יבוא	completion	miss		1	1	0.0	summer_2025·פרק1·ש16·אפשרות 1
יבשת	יבשת	analogy	miss		1	1	2.0	winter_2022·פרק1·ש2·מסיח 4
יד	יד	completion	miss		1	1	0.0	2019_spring·פרק2·ש13·אפשרות ?
ידברו	ידברו	completion	close	דבר	1	1	0.0	spring_2023·פרק1·ש13·אפשרות 1
ידו	ידו	completion	close	ידו	1	1	0.0	2020_spring·פרק1·ש11·אפשרות 4
ידו לא הייתה משגת	ידו לא הייתה משגת	analogy	close	ידו	1	1	6.0	2020_winter·פרק2·ש6·מסיח 1
ידחה	ידחה	completion	close	דחה	1	1	0.0	2020_spring·פרק1·ש11·אפשרות ?
ידי	ידי	completion	close	ידי	1	1	0.0	summer_2024·פרק1·ש15·אפשרות 4
ידיעה	ידיעה	analogy	close	ידע	1	1	2.0	autumn_2025·פרק2·ש2·מסיח 3
ידע	ידע	analogy	close	ידע	1	1	3.0	autumn_2023·פרק2·ש3·רגל
ידעה	ידעה	completion	close	ידע	1	1	0.0	summer_2023·פרק2·ש16·אפשרות 2
יהיו	יהיו	completion	miss		1	1	0.0	autumn_2024·פרק2·ש14·אפשרות 2
יואב	יואב	completion	miss		1	1	0.0	summer_2023·פרק2·ש15·אפשרות 4
יובל	יובל	completion	full	יובל	1	1	0.0	2020_autumn·פרק1·ש13·אפשרות 1
יוגב	יוגב	analogy	full	יוגב	1	1	6.0	2020_spring·פרק1·ש6·מסיח 3
יודע	יודע	completion	close	ידע	1	1	0.0	summer_2021·פרק2·ש10·אפשרות 1
יודעת	יודעת	completion	close	ידע	1	1	0.0	autumn_2024·פרק1·ש15·אפשרות 1
יומיים	יומיים	analogy	full	יומם	1	1	6.0	autumn_2021·פרק1·ש6·מסיח 4
יומית	יומית	completion	miss		1	1	0.0	summer_2025·פרק1·ש16·אפשרות 4
יוסיף	יוסיף	completion	miss		1	1	0.0	winter_2022·פרק2·ש14·אפשרות 1
יוסף	יוסף	completion	miss		1	1	0.0	autumn_2021·פרק2·ש14·אפשרות 1
יועברו	יועברו	completion	close	עבר	1	1	0.0	spring_2024·פרק2·ש10·אפשרות 1
יופרך	יופרך	completion	close	פרכ	1	1	0.0	2020_autumn·פרק1·ש12·אפשרות 1
יורה	יורה	analogy	full	יורה	1	1	5.0	summer_2025·פרק2·ש5·מסיח 4
יושב	יושב	completion	close	ישב	1	1	0.0	spring_2022·פרק2·ש17·אפשרות 1
יזנח	יזנח	completion	close	זנח	1	1	0.0	2019_spring·פרק2·ש13·אפשרות ?
יחזה	יחזה	completion	close	חזה	1	1	0.0	2019_spring·פרק2·ש13·אפשרות ?
יחס	יחס	completion	close	יחס	1	1	0.0	2020_winter·פרק1·ש8·אפשרות ?
יחף	יחף	analogy	miss		1	1	6.0	autumn_2024·פרק1·ש6·מסיח 4
יחף"	יחף״	completion	miss		1	1	0.0	2020_summer·פרק2·ש12·אפשרות 1
ייגרסו	ייגרסו	completion	close	יגר	1	1	0.0	spring_2024·פרק2·ש10·אפשרות 2
ייחד	ייחד	completion	miss		1	1	0.0	2020_winter·פרק1·ש7·אפשרות 4
ייחודי	ייחודי	completion	miss		1	1	0.0	spring_2024·פרק2·ש11·אפשרות 3
ייחל	ייחל	completion	close	יחל	1	1	0.0	summer_2025·פרק1·ש15·אפשרות 3
ייכחדו	ייכחדו	completion	close	כחד	1	1	0.0	autumn_2025·פרק1·ש11·אפשרות 1
ייכנעו	ייכנעו	completion	close	כנע	1	1	0.0	summer_2023·פרק1·ש10·אפשרות 2
ייסורים	ייסורים	analogy	full	יסורים	1	1	6.0	spring_2022·פרק2·ש6·מסיח 1
ייעוץ	ייעוץ	analogy	close	יעצ	1	1	6.0	2019_spring·פרק1·ש6·לא-זוהה
ייענשו	ייענשו	completion	miss		1	1	0.0	summer_2021·פרק2·ש10·אפשרות 4
ייפסק	ייפסק	completion	miss		1	1	0.0	summer_2021·פרק2·ש11·אפשרות 2
ייצור	ייצור	completion	miss		1	1	0.0	spring_2025·פרק2·ש16·אפשרות 1
יירכשו	יירכשו	completion	close	ירכ	1	1	0.0	spring_2023·פרק1·ש13·אפשרות 4
יישר את ההדורים	יישר את ההדורים	analogy	close	ישר	1	1	6.0	2020_summer·פרק2·ש6·מסיח 3
ילד	ילד	analogy	close	ילד	1	1	3.0	autumn_2025·פרק1·ש3·מסיח 2
ילדה	ילדה	analogy	close	ילד	1	1	4.0	summer_2025·פרק1·ש4·רגל
ילקוט	ילקוט	analogy	close	לקט	1	1	4.0	summer_2022·פרק2·ש4·מסיח 1
ימאי	ימאי	analogy	miss		1	1	2.0	2020_autumn·פרק2·ש2·מסיח 1
ימין	ימין	analogy	miss		1	1	6.0	autumn_2021·פרק2·ש6·מסיח 2
ימינה	ימינה	analogy	miss		1	1	6.0	autumn_2021·פרק2·ש6·מסיח 2
ימינו	ימינו	completion	miss		1	1	0.0	2020_autumn·פרק1·ש13·אפשרות 2
יממש	יממש	completion	miss		1	1	0.0	winter_2023·פרק1·ש10·אפשרות 1
ימשכו	ימשכו	completion	close	משכ	1	1	0.0	spring_2023·פרק1·ש13·אפשרות 2
ינהגו	ינהגו	completion	close	ינה	1	1	0.0	autumn_2024·פרק2·ש14·אפשרות 2
יסודיות	יסודיות	analogy	miss		1	1	2.0	autumn_2024·פרק2·ש2·מסיח 2
יסודית	יסודית	completion	miss		1	1	0.0	autumn_2021·פרק1·ש10·אפשרות 3
יסכימו	יסכימו	completion	close	סכמ	1	1	0.0	summer_2023·פרק1·ש10·אפשרות 1
יסרב	יסרב	completion	close	יסר	1	1	0.0	summer_2023·פרק2·ש16·אפשרות 4
יסרבו	יסרבו	completion	close	יסר	1	1	0.0	summer_2023·פרק1·ש10·אפשרות 4
יסתבר	יסתבר	completion	miss		1	1	0.0	2020_autumn·פרק1·ש12·אפשרות 3
יעיל	יעיל	completion	miss		1	1	0.0	summer_2024·פרק2·ש9·אפשרות 3
יעניקו	יעניקו	completion	close	ענק	1	1	0.0	2020_winter·פרק1·ש8·אפשרות 1
יעקב	יעקב	completion	close	עקב	1	1	0.0	summer_2022·פרק1·ש10·אפשרות 1
יצא בשן ועין	יצא בשן ועין	analogy	full	יצא בשן ועין	1	1	5.0	autumn_2021·פרק2·ש5·מסיח 1
יצאו	יצאו	completion	close	יצא	1	1	0.0	spring_2024·פרק1·ש16·אפשרות 2
יצאתי	יצאתי	completion	close	יצא	1	1	0.0	2020_summer·פרק2·ש12·אפשרות 1
יציב	יציב	analogy	miss		1	1	6.0	spring_2022·פרק1·ש6·רגל
יציע	יציע	analogy	full	יציע	1	1	2.0	2019_spring·פרק2·ש2·לא-זוהה
יצירה	יצירה	completion	miss		1	1	0.0	winter_2022·פרק1·ש8·אפשרות 4
יצירת ביכורים	יצירת ביכורים	analogy	close	בכר	1	1	5.0	summer_2025·פרק2·ש5·רגל
יצר	יצר	analogy	miss		1	1	1.0	spring_2025·פרק2·ש1·מסיח 4
