מנורמל	ייצוג	סיבה	הערה	מנה
וענייני	וענייני	דחייה: שכיחה		j-14
ורוגע	ורוגע	דחייה: שכיחה		j-14
ושוקעים	ושוקעים	דחייה: שכיחה		j-14
ושלושים	ושלושים	דחייה: שכיחה		j-14
ותיקים	ותיקים	דחייה: שכיחה		j-03
זהה	זהה	דחייה: שכיחה		j-14
זהים	זהים	דחייה: שכיחה		j-14
זהיר	זהיר	דחייה: שכיחה		j-01
זהירות	זהירות	דחייה: שכיחה		j-03
זולתו	זולתו	דחייה: שכיחה		j-14
זועם	זועם	דחייה: שכיחה		j-14
זורם	זורם	דחייה: שכיחה		j-14
זורמת	זורמת	דחייה: שכיחה		j-14
זחל	זחל	דחייה: שכיחה		j-14
זיהוי	זיהוי	דחייה: שכיחה		j-14
זיהום	זיהום	דחייה: שכיחה		j-14
זיכוי	זיכוי	דחייה: שכיחה		j-14
זית	זית	דחייה: שכיחה		j-03
זכוכית	זכוכית	דחייה: שכיחה		j-14
זכר	זכר	דחייה: שכיחה		j-14
זכתה	זכתה	דחייה: שכיחה		j-14
זמזום	זמזום	דחייה: שכיחה		j-14
זמנם	זמנם	דחייה: שכיחה		j-14
זמר	זמר	דחייה: שכיחה		j-14
זמרה	זמרה	דחייה: שכיחה	ספק: ספרותית-מה אך מוכרת מהצירוף שירה וזמרה; בנוסף close:זמר	j-14
זנב	זנב	דחייה: שכיחה		j-14
זעום	זעום	דחייה: שכיחה	ספק: גבולית — רווחת בצירופים כמו סכום זעום, סיכוי זעום	j-14
זעיר	זעיר	דחייה: שכיחה		j-14
זריז	זריז	דחייה: שכיחה		j-03
זרעים	זרעים	דחייה: שכיחה		j-14
חבישה	חבישה	דחייה: שכיחה		j-14
חברות	חברות	דחייה: שכיחה		j-14
חבריו	חבריו	דחייה: שכיחה		j-14
חברתיות	חברתיות	דחייה: שכיחה		j-14
חד	חד	דחייה: שכיחה		j-14
חדר	חדר	דחייה: שכיחה		j-14
חדשות	חדשות	דחייה: שכיחה		j-14
חובב	חובב	דחייה: שכיחה		j-14
חובה	חובה	דחייה: שכיחה		j-03
חודש	חודש	דחייה: שכיחה		j-14
חוויה	חוויה	דחייה: שכיחה		j-14
חולה	חולה	דחייה: שכיחה		j-03
חולצה	חולצה	דחייה: שכיחה		j-01
חולשה	חולשה	דחייה: שכיחה		j-14
חוסך	חוסך	דחייה: שכיחה		j-14
חופש	חופש	דחייה: שכיחה		j-14
חוקי	חוקי	דחייה: שכיחה		j-01
חורים	חורים	דחייה: שכיחה		j-14
חושב	חושב	דחייה: שכיחה		j-14
חושבת	חושבת	דחייה: שכיחה		j-14
חוששים	חוששים	דחייה: שכיחה		j-14
חזית	חזית	דחייה: שכיחה	ספק: מוכרת מחדשות ומבניינים (חזית המלחמה, חזית הבית), אך הופיעה כמסיח בשאלה 6	j-14
חזקה	חזקה	דחייה: שכיחה		j-14
חי	חי	דחייה: שכיחה		j-03
חיבור	חיבור	דחייה: שכיחה		j-15
חיבק	חיבק	דחייה: שכיחה		j-03
חיה	חיה	דחייה: שכיחה		j-03
חיובית	חיובית	דחייה: שכיחה		j-01
חיוניים	חיוניים	דחייה: שכיחה		j-15
חיונית	חיונית	דחייה: שכיחה		j-01
חיזוק	חיזוק	דחייה: שכיחה		j-15
חיזק	חיזק	דחייה: שכיחה		j-15
חיטה	חיטה	דחייה: שכיחה		j-15
חייבת	חייבת	דחייה: שכיחה		j-15
חינם	חינם	דחייה: שכיחה		j-01
חיריק	חיריק	דחייה: שכיחה	ספק: מונח ניקוד הנלמד ביסודי	j-03
חלה	חלה	דחייה: שכיחה		j-15
חלופה	חלופה	דחייה: שכיחה	ספק: האות החזק בקבוצה (ממוצע 6.0, רגל בשאלה קשה), אך חלופה מילה שגורה בחדשות ובלימודים	j-01
חלק	חלק	דחייה: שכיחה		j-01
חלקה	חלקה	דחייה: שכיחה		j-15
חלשה	חלשה	דחייה: שכיחה		j-15
חם	חם	דחייה: שכיחה		j-03
חמוץ	חמוץ	דחייה: שכיחה		j-01
חמור	חמור	דחייה: שכיחה		j-15
חממה	חממה	דחייה: שכיחה		j-15
חן	חן	דחייה: שכיחה		j-15
חנה	חנה	דחייה: שכיחה		j-15
חניון	חניון	דחייה: שכיחה		j-15
חסך	חסך	דחייה: שכיחה		j-15
חסכו	חסכו	דחייה: שכיחה		j-15
חף מפשע	חף מפשע	דחייה: שכיחה		j-15
חפף	חפף	דחייה: שכיחה		j-15
חצוף	חצוף	דחייה: שכיחה		j-15
חצוצרה	חצוצרה	דחייה: שכיחה		j-15
חצייה	חצייה	דחייה: שכיחה		j-15
חריג	חריג	דחייה: שכיחה		j-15
חרקים	חרקים	דחייה: שכיחה		j-15
חשוב	חשוב	דחייה: שכיחה		j-01
חשובים	חשובים	דחייה: שכיחה		j-15
חשמל	חשמל	דחייה: שכיחה		j-15
חשש	חשש	דחייה: שכיחה		j-03
חתול	חתול	דחייה: שכיחה		j-15
חתונה	חתונה	דחייה: שכיחה		j-01
חתך	חתך	דחייה: שכיחה		j-03
חתמו	חתמו	דחייה: שכיחה		j-15
טאטא	טאטא	דחייה: שכיחה		j-15
טבח	טבח	דחייה: שכיחה	ספק: הומוגרף טַבָּח/טֶבַח — שתי הקריאות שכיחות	j-03
טובה	טובה	דחייה: שכיחה		j-01
טובות	טובות	דחייה: שכיחה		j-04
טובים	טובים	דחייה: שכיחה		j-15
טועה	טועה	דחייה: שכיחה		j-15
טוען	טוען	דחייה: שכיחה		j-15
טיגן	טיגן	דחייה: שכיחה		j-15
טינף	טינף	דחייה: שכיחה		j-15
טיסה	טיסה	דחייה: שכיחה		j-15
טיעון	טיעון	דחייה: שכיחה		j-15
טעה	טעה	דחייה: שכיחה		j-15
טעויות	טעויות	דחייה: שכיחה		j-15
טעות	טעות	דחייה: שכיחה		j-15
טעים	טעים	דחייה: שכיחה		j-15
טעיתי	טעיתי	דחייה: שכיחה		j-15
טעם	טעם	דחייה: שכיחה		j-01
טען	טען	דחייה: שכיחה		j-04
טענות	טענות	דחייה: שכיחה		j-15
טענת	טענת	דחייה: שכיחה		j-15
טפטוף	טפטוף	דחייה: שכיחה		j-15
טפטף	טפטף	דחייה: שכיחה		j-15
יבוא	יבוא	דחייה: שכיחה		j-15
יבש	יבש	דחייה: שכיחה		j-04
יבשת	יבשת	דחייה: שכיחה		j-15
יד	יד	דחייה: שכיחה		j-15
ידיים	ידיים	דחייה: שכיחה		j-01
ידיעה	ידיעה	דחייה: שכיחה		j-15
ידע	ידע	דחייה: שכיחה		j-15
יהיו	יהיו	דחייה: שכיחה		j-15
יהלום	יהלום	דחייה: שכיחה		j-01
יוסיף	יוסיף	דחייה: שכיחה		j-15
יחף	יחף	דחייה: שכיחה		j-15
ייחודי	ייחודי	דחייה: שכיחה		j-16
יין	יין	דחייה: שכיחה		j-01
ייעוץ	ייעוץ	דחייה: שכיחה		j-16
ייענשו	ייענשו	דחייה: שכיחה		j-16
ייפסק	ייפסק	דחייה: שכיחה		j-16
ייצור	ייצור	דחייה: שכיחה		j-16
יכולת	יכולת	דחייה: שכיחה		j-04
ילד	ילד	דחייה: שכיחה		j-16
ילדה	ילדה	דחייה: שכיחה		j-16
ילקוט	ילקוט	דחייה: שכיחה		j-16
ימין	ימין	דחייה: שכיחה		j-16
ימינה	ימינה	דחייה: שכיחה		j-16
יממש	יממש	דחייה: שכיחה		j-16
יסודיות	יסודיות	דחייה: שכיחה		j-16
יסודית	יסודית	דחייה: שכיחה		j-16
יסתבר	יסתבר	דחייה: שכיחה		j-16
יעיל	יעיל	דחייה: שכיחה		j-16
יער	יער	דחייה: שכיחה		j-01
יציב	יציב	דחייה: שכיחה		j-16
יצירה	יצירה	דחייה: שכיחה		j-16
יצר	יצר	דחייה: שכיחה		j-16
יקב	יקב	דחייה: שכיחה	ספק: מוכרת לרוב התלמידים; נדחתה מכוח כלל הספק	j-04
יקר	יקר	דחייה: שכיחה		j-16
ירוקים	ירוקים	דחייה: שכיחה		j-04
ירח	ירח	דחייה: שכיחה		j-16
יריבות	יריבות	דחייה: שכיחה		j-16
יריבים	יריבים	דחייה: שכיחה		j-16
ירק	ירק	דחייה: שכיחה		j-04
ישיבה	ישיבה	דחייה: שכיחה		j-16
ישן	ישן	דחייה: שכיחה		j-01
ישנה	ישנה	דחייה: שכיחה		j-16
ישקע	ישקע	דחייה: שכיחה		j-16
כאילו	כאילו	דחייה: שכיחה		j-04
כאלה	כאלה	דחייה: שכיחה		j-16
כאן	כאן	דחייה: שכיחה		j-04
כאש	כאש	דחייה: שכיחה		j-16
כבוי	כבוי	דחייה: שכיחה		j-04
כבויה	כבויה	דחייה: שכיחה		j-16
כבשה	כבשה	דחייה: שכיחה		j-16
כדאי	כדאי	דחייה: שכיחה		j-16
כדאית	כדאית	דחייה: שכיחה		j-16
כואב	כואב	דחייה: שכיחה		j-16
כובע	כובע	דחייה: שכיחה		j-16
כוונה	כוונה	דחייה: שכיחה		j-16
כוח	כוח	דחייה: שכיחה		j-16
כוח אדם	כוח אדם	דחייה: שכיחה		j-16
כוכב	כוכב	דחייה: שכיחה		j-16
כולן	כולן	דחייה: שכיחה		j-16
כועס	כועס	דחייה: שכיחה		j-04
כותב	כותב	דחייה: שכיחה		j-04
כזו	כזו	דחייה: שכיחה		j-16
כיבס	כיבס	דחייה: שכיחה		j-16
כידון	כידון	דחייה: שכיחה	ספק: ייתכן שנבחן במובן 'רומח', אך הצורה מוכרת לכל תלמיד (כידון אופניים)	j-16
כינוהו	כינוהו	דחייה: שכיחה		j-16
כיסא	כיסא	דחייה: שכיחה		j-16
כיעד	כיעד	דחייה: שכיחה		j-16
כלבי	כלבי	דחייה: שכיחה		j-16
כלוא	כלוא	דחייה: שכיחה		j-16
כלול	כלול	דחייה: שכיחה		j-16
כנהוג	כנהוג	דחייה: שכיחה		j-16
כניעה	כניעה	דחייה: שכיחה		j-16
כנפיים	כנפיים	דחייה: שכיחה		j-16
כנראה	כנראה	דחייה: שכיחה		j-16
כסף	כסף	דחייה: שכיחה		j-01
כספת	כספת	דחייה: שכיחה		j-16
כעניין	כעניין	דחייה: שכיחה		j-16
כעס	כעס	דחייה: שכיחה		j-01
כעת	כעת	דחייה: שכיחה		j-16
כפל	כפל	דחייה: שכיחה		j-16
כפליים	כפליים	דחייה: שכיחה		j-16
כפתור	כפתור	דחייה: שכיחה		j-16
כרטיסי	כרטיסי	דחייה: שכיחה		j-16
כרטיסים	כרטיסים	דחייה: שכיחה		j-16
כריכה	כריכה	דחייה: שכיחה		j-04
כרית	כרית	דחייה: שכיחה		j-16
כריתה	כריתה	דחייה: שכיחה		j-17
כרם	כרם	דחייה: שכיחה		j-01
לאיים	לאיים	דחייה: שכיחה		j-17
לאיכות	לאיכות	דחייה: שכיחה		j-17
לאכול	לאכול	דחייה: שכיחה		j-01
לאף	לאף	דחייה: שכיחה	ספק: ייתכן שבר של "לאף אחד"	j-17
לאפות	לאפות	דחייה: שכיחה		j-17
לארוז	לארוז	דחייה: שכיחה		j-17
לבחון	לבחון	דחייה: שכיחה		j-17
לבטוח	לבטוח	דחייה: שכיחה		j-17
לבישה	לבישה	דחייה: שכיחה		j-17
לבסוף	לבסוף	דחייה: שכיחה		j-17
לבקר	לבקר	דחייה: שכיחה		j-17
לבקש	לבקש	דחייה: שכיחה		j-01
לבריאות	לבריאות	דחייה: שכיחה		j-17
לגהץ	לגהץ	דחייה: שכיחה		j-04
לגור	לגור	דחייה: שכיחה		j-04
לגייס	לגייס	דחייה: שכיחה		j-04
לגלות	לגלות	דחייה: שכיחה		j-17
לגנוב	לגנוב	דחייה: שכיחה		j-04
לדוג	לדוג	דחייה: שכיחה		j-04
לדווח	לדווח	דחייה: שכיחה		j-04
לדחות	לדחות	דחייה: שכיחה		j-04
לדכא	לדכא	דחייה: שכיחה		j-17
לדרוש	לדרוש	דחייה: שכיחה		j-17
להאזין	להאזין	דחייה: שכיחה		j-01
להאמין	להאמין	דחייה: שכיחה		j-01
להאניש	להאניש	דחייה: שכיחה		j-17
להב	להב	דחייה: שכיחה		j-17
להבא	להבא	דחייה: שכיחה		j-17
להבה	להבה	דחייה: שכיחה		j-17
להבחין	להבחין	דחייה: שכיחה		j-04
להבטיח	להבטיח	דחייה: שכיחה		j-17
להביא בחשבון	להביא בחשבון	דחייה: שכיחה		j-17
להביך	להביך	דחייה: שכיחה		j-17
להבין	להבין	דחייה: שכיחה		j-02
להבריא	להבריא	דחייה: שכיחה		j-17
להגיש	להגיש	דחייה: שכיחה		j-17
להוכיח	להוכיח	דחייה: שכיחה		j-04
להושיט	להושיט	דחייה: שכיחה		j-04
להזדקק	להזדקק	דחייה: שכיחה		j-17
להזהיר	להזהיר	דחייה: שכיחה		j-17
להזיק	להזיק	דחייה: שכיחה		j-04
להחליט	להחליט	דחייה: שכיחה		j-04
להחליק	להחליק	דחייה: שכיחה		j-04
להחמיא	להחמיא	דחייה: שכיחה		j-04
להיבחר	להיבחר	דחייה: שכיחה		j-17
להיזהר	להיזהר	דחייה: שכיחה		j-04
להיזכר	להיזכר	דחייה: שכיחה		j-17
להיחשב	להיחשב	דחייה: שכיחה		j-17
להיחשף	להיחשף	דחייה: שכיחה		j-17
להיכנס	להיכנס	דחייה: שכיחה		j-17
להימלט	להימלט	דחייה: שכיחה		j-17
להימנע	להימנע	דחייה: שכיחה		j-02
להיעדר	להיעדר	דחייה: שכיחה		j-17
להיעזר	להיעזר	דחייה: שכיחה		j-17
להיעלב	להיעלב	דחייה: שכיחה		j-17
להיענות	להיענות	דחייה: שכיחה	ספק: ממוצע-שאלה 5.0 הוא אות חוזק, אך "נַעֲנָה לבקשה" שגור בפי כל תלמיד	j-01
להיפגע	להיפגע	דחייה: שכיחה		j-17
להירדם	להירדם	דחייה: שכיחה		j-17
להכפיל	להכפיל	דחייה: שכיחה		j-17
להלחין	להלחין	דחייה: שכיחה		j-17
להלחנת	להלחנת	דחייה: שכיחה		j-17
להלשין	להלשין	דחייה: שכיחה	ספק: מוכרת משפת בית-הספר (מלשן); נדחתה מכוח כלל הספק	j-04
להסביר	להסביר	דחייה: שכיחה		j-04
להסמיק	להסמיק	דחייה: שכיחה		j-17
להסתגל	להסתגל	דחייה: שכיחה		j-17
להסתיר	להסתיר	דחייה: שכיחה		j-02
להסתכסך	להסתכסך	דחייה: שכיחה		j-17
להסתנוור	להסתנוור	דחייה: שכיחה		j-17
להעיד	להעיד	דחייה: שכיחה		j-04
להעיר	להעיר	דחייה: שכיחה		j-17
להעלות	להעלות	דחייה: שכיחה		j-04
להעליב	להעליב	דחייה: שכיחה		j-17
להעמיס	להעמיס	דחייה: שכיחה		j-17
להעניק	להעניק	דחייה: שכיחה		j-02
להעניש	להעניש	דחייה: שכיחה		j-17
להעשיר	להעשיר	דחייה: שכיחה		j-17
להפחיד	להפחיד	דחייה: שכיחה		j-04
להפליג	להפליג	דחייה: שכיחה		j-17
להפסיק	להפסיק	דחייה: שכיחה		j-04
להצטמק	להצטמק	דחייה: שכיחה	ספק: שכיח בעיקר בהקשרי בישול	j-17
להציג	להציג	דחייה: שכיחה		j-17
להציל	להציל	דחייה: שכיחה		j-17
להציע	להציע	דחייה: שכיחה		j-17
להצמיד	להצמיד	דחייה: שכיחה		j-17
להצעה	להצעה	דחייה: שכיחה		j-17
להקה	להקה	דחייה: שכיחה		j-17
להקפיא	להקפיא	דחייה: שכיחה		j-17
להקשיב	להקשיב	דחייה: שכיחה		j-04
להרבות	להרבות	דחייה: שכיחה		j-17
להרביץ	להרביץ	דחייה: שכיחה		j-18
להרוויח	להרוויח	דחייה: שכיחה		j-18
להרצות	להרצות	דחייה: שכיחה		j-18
להשאיר	להשאיר	דחייה: שכיחה		j-18
להשחיל	להשחיל	דחייה: שכיחה		j-18
להשפיע	להשפיע	דחייה: שכיחה		j-02
להשקות	להשקות	דחייה: שכיחה		j-04
להשקיע	להשקיע	דחייה: שכיחה		j-18
להשתנות	להשתנות	דחייה: שכיחה		j-18
להתאים	להתאים	דחייה: שכיחה		j-18
להתאמן	להתאמן	דחייה: שכיחה		j-18
להתאמץ	להתאמץ	דחייה: שכיחה		j-18
להתבגרות	להתבגרות	דחייה: שכיחה		j-18
להתבהר	להתבהר	דחייה: שכיחה		j-18
להתבייש	להתבייש	דחייה: שכיחה		j-18
להתבצע	להתבצע	דחייה: שכיחה		j-04
להתגונן	להתגונן	דחייה: שכיחה		j-18
להתגלות	להתגלות	דחייה: שכיחה		j-02
להתווכח	להתווכח	דחייה: שכיחה		j-18
להתחייב	להתחייב	דחייה: שכיחה		j-18
להתלבט	להתלבט	דחייה: שכיחה		j-18
להתלונן	להתלונן	דחייה: שכיחה		j-18
להתמודד	להתמודד	דחייה: שכיחה		j-18
להתנדף	להתנדף	דחייה: שכיחה		j-18
להתנצל	להתנצל	דחייה: שכיחה		j-18
להתעצבן	להתעצבן	דחייה: שכיחה		j-18
להתפתות	להתפתות	דחייה: שכיחה		j-18
להתקלקל	להתקלקל	דחייה: שכיחה		j-18
להתרברב	להתרברב	דחייה: שכיחה		j-18
להתרגש	להתרגש	דחייה: שכיחה		j-18
להתרוקן	להתרוקן	דחייה: שכיחה		j-18
להתרחש	להתרחש	דחייה: שכיחה		j-18
לוואי	לוואי	דחייה: שכיחה	ספק: "תופעות לוואי" שגור בפי כול	j-18
לוותר	לוותר	דחייה: שכיחה		j-18
לול	לול	דחייה: שכיחה		j-18
לוליין	לוליין	דחייה: שכיחה	ספק: מוכר לרוב התלמידים מהקשר הקרקס	j-18
לומר	לומר	דחייה: שכיחה		j-04
לזייף	לזייף	דחייה: שכיחה		j-18
לזעום	לזעום	דחייה: שכיחה		j-18
לזרוק	לזרוק	דחייה: שכיחה		j-18
לזרז	לזרז	דחייה: שכיחה		j-18
לחדד	לחדד	דחייה: שכיחה		j-18
לחדור	לחדור	דחייה: שכיחה		j-18
לחזות	לחזות	דחייה: שכיחה	ספק: מוכר מ"תחזית" ומ"לחזות את העתיד"	j-18
לחזק	לחזק	דחייה: שכיחה		j-18
לחטוא	לחטוא	דחייה: שכיחה		j-18
לחי	לחי	דחייה: שכיחה		j-18
לחידוש	לחידוש	דחייה: שכיחה		j-18
לחיזוק	לחיזוק	דחייה: שכיחה		j-18
לחינם	לחינם	דחייה: שכיחה	ספק: "לא לחינם" שגור	j-18
לחלוטין	לחלוטין	דחייה: שכיחה		j-04
לחם	לחם	דחייה: שכיחה		j-04
לחן	לחן	דחייה: שכיחה	ספק: "מילים ולחן" מוכר לכל תלמיד	j-18
לחסוך	לחסוך	דחייה: שכיחה		j-18
לחפור	לחפור	דחייה: שכיחה		j-18
לחפש	לחפש	דחייה: שכיחה		j-04
לחשוב	לחשוב	דחייה: שכיחה		j-04
לחשוד	לחשוד	דחייה: שכיחה		j-18
לחשוף	לחשוף	דחייה: שכיחה		j-18
לטעון	לטעון	דחייה: שכיחה		j-18
ליווה	ליווה	דחייה: שכיחה		j-18
ליום	ליום	דחייה: שכיחה		j-18
לייצר	לייצר	דחייה: שכיחה		j-04
לימון	לימון	דחייה: שכיחה		j-18
ליקק	ליקק	דחייה: שכיחה		j-18
לישון	לישון	דחייה: שכיחה		j-04
לכווץ	לכווץ	דחייה: שכיחה		j-18
לכלוך	לכלוך	דחייה: שכיחה		j-18
לכלך	לכלך	דחייה: שכיחה		j-18
לכעוס	לכעוס	דחייה: שכיחה		j-18
ללבוש	ללבוש	דחייה: שכיחה		j-19
ללגלג	ללגלג	דחייה: שכיחה		j-19
ללחלח	ללחלח	דחייה: שכיחה		j-19
ללמוד	ללמוד	דחייה: שכיחה		j-04
ללשון	ללשון	דחייה: שכיחה		j-19
למה	למה	דחייה: שכיחה		j-19
למוח	למוח	דחייה: שכיחה		j-19
למוטט	למוטט	דחייה: שכיחה		j-19
למזוג	למזוג	דחייה: שכיחה		j-19
למחוק	למחוק	דחייה: שכיחה		j-19
למטה	למטה	דחייה: שכיחה		j-19
למכור	למכור	דחייה: שכיחה		j-19
לממש	לממש	דחייה: שכיחה		j-19
למנוסים	למנוסים	דחייה: שכיחה		j-19
למנוע	למנוע	דחייה: שכיחה		j-19
למסיים	למסיים	דחייה: שכיחה		j-19
למספר	למספר	דחייה: שכיחה		j-19
למען	למען	דחייה: שכיחה		j-19
למעשנים	למעשנים	דחייה: שכיחה		j-19
למצוא	למצוא	דחייה: שכיחה		j-02
למקור	למקור	דחייה: שכיחה		j-19
למתוח	למתוח	דחייה: שכיחה		j-19
לנגן	לנגן	דחייה: שכיחה		j-04
לנהוג	לנהוג	דחייה: שכיחה		j-19
לנוזל	לנוזל	דחייה: שכיחה		j-19
לנחש	לנחש	דחייה: שכיחה		j-19
לנמנע	לנמנע	דחייה: שכיחה		j-19
לנעול	לנעול	דחייה: שכיחה		j-19
לנקז	לנקז	דחייה: שכיחה	ספק: מוכר לכול דרך "ניקוז"	j-19
לנקמה	לנקמה	דחייה: שכיחה		j-19
לסגת	לסגת	דחייה: שכיחה		j-19
לסחוט	לסחוט	דחייה: שכיחה		j-19
לסטודנטים	לסטודנטים	דחייה: שכיחה		j-19
לסיימו	לסיימו	דחייה: שכיחה		j-19
לסימנים	לסימנים	דחייה: שכיחה		j-19
לסכן	לסכן	דחייה: שכיחה		j-19
לסכסך	לסכסך	דחייה: שכיחה	ספק: מוכר דרך "סכסוך"	j-19
לסרב	לסרב	דחייה: שכיחה		j-04
לעובדיו	לעובדיו	דחייה: שכיחה		j-19
לעודד	לעודד	דחייה: שכיחה		j-19
לעומתם	לעומתם	דחייה: שכיחה		j-19
לעזור	לעזור	דחייה: שכיחה		j-19
לעטוף	לעטוף	דחייה: שכיחה		j-19
לעכב	לעכב	דחייה: שכיחה		j-19
לענוד	לענוד	דחייה: שכיחה	ספק: "לענוד תכשיט" מוכר לרוב התלמידים	j-19
לעניין	לעניין	דחייה: שכיחה		j-19
לעניינים	לעניינים	דחייה: שכיחה		j-19
לעצור	לעצור	דחייה: שכיחה		j-19
לעצתה	לעצתה	דחייה: שכיחה		j-19
לעשן	לעשן	דחייה: שכיחה		j-19
לפגוע	לפגוע	דחייה: שכיחה		j-04
לפהק	לפהק	דחייה: שכיחה		j-19
לפורר	לפורר	דחייה: שכיחה		j-19
לפחד	לפחד	דחייה: שכיחה		j-19
לפירוט	לפירוט	דחייה: שכיחה		j-19
לפנינו	לפנינו	דחייה: שכיחה		j-19
לפענח	לפענח	דחייה: שכיחה		j-19
לפרש	לפרש	דחייה: שכיחה		j-04
לפשוט	לפשוט	דחייה: שכיחה		j-19
לפתור	לפתור	דחייה: שכיחה		j-19
לצותת	לצותת	דחייה: שכיחה	ספק: מוכר מהתקשורת (האזנות סתר)	j-19
לצחוק	לצחוק	דחייה: שכיחה		j-04
לצחצח	לצחצח	דחייה: שכיחה		j-19
לציבור	לציבור	דחייה: שכיחה		j-19
לציית	לציית	דחייה: שכיחה		j-19
לצמצם	לצמצם	דחייה: שכיחה		j-04
לצפות	לצפות	דחייה: שכיחה		j-04
לצפייה	לצפייה	דחייה: שכיחה		j-19
לקחת	לקחת	דחייה: שכיחה		j-04
לקטוף	לקטוף	דחייה: שכיחה		j-04
לקידום	לקידום	דחייה: שכיחה		j-19
לקיים	לקיים	דחייה: שכיחה		j-04
לקלוע	לקלוע	דחייה: שכיחה		j-19
לקלף	לקלף	דחייה: שכיחה		j-02
לקמט	לקמט	דחייה: שכיחה		j-19
לקנות	לקנות	דחייה: שכיחה		j-01
לקראת	לקראת	דחייה: שכיחה		j-19
לקרוא	לקרוא	דחייה: שכיחה		j-01
לקרוס	לקרוס	דחייה: שכיחה		j-19
לקרות	לקרות	דחייה: שכיחה		j-19
לקשט	לקשט	דחייה: שכיחה		j-19
לראות	לראות	דחייה: שכיחה		j-19
לרבים	לרבים	דחייה: שכיחה		j-19
לרגע	לרגע	דחייה: שכיחה		j-19
לרדוף	לרדוף	דחייה: שכיחה		j-01
לרדת	לרדת	דחייה: שכיחה		j-20
לרוב	לרוב	דחייה: שכיחה		j-20
לרוקן	לרוקן	דחייה: שכיחה		j-20
לריק	לריק	דחייה: שכיחה		j-20
לרסק	לרסק	דחייה: שכיחה		j-20
לרפד	לרפד	דחייה: שכיחה		j-20
לרתך	לרתך	דחייה: שכיחה		j-20
לשאוב	לשאוב	דחייה: שכיחה		j-20
לשאול	לשאול	דחייה: שכיחה		j-02
לשבור	לשבור	דחייה: שכיחה		j-04
לשבח	לשבח	דחייה: שכיחה	ספק: ממוצע-שאלה 5.5 גבוה, אך שִׁבַּח/שבחים מילה מוכרת לכל תלמיד	j-01
לשגשג	לשגשג	דחייה: שכיחה		j-20
לשון	לשון	דחייה: שכיחה		j-20
לשייף	לשייף	דחייה: שכיחה		j-20
לשכור	לשכור	דחייה: שכיחה		j-20
לשכנע	לשכנע	דחייה: שכיחה		j-02
לשלטון	לשלטון	דחייה: שכיחה		j-20
לשלם	לשלם	דחייה: שכיחה		j-02
לשמוח	לשמוח	דחייה: שכיחה		j-20
לשמוע	לשמוע	דחייה: שכיחה		j-02
לשמח	לשמח	דחייה: שכיחה		j-20
לשמש	לשמש	דחייה: שכיחה		j-04
לשנות	לשנות	דחייה: שכיחה		j-02
לשעון	לשעון	דחייה: שכיחה		j-20
לשקול	לשקול	דחייה: שכיחה		j-20
לשקר	לשקר	דחייה: שכיחה		j-20
לשתוק	לשתוק	דחייה: שכיחה		j-04
לתאר	לתאר	דחייה: שכיחה		j-20
לתלות	לתלות	דחייה: שכיחה		j-20
לתפור	לתפור	דחייה: שכיחה		j-04
לתפיסה	לתפיסה	דחייה: שכיחה		j-20
לתקן	לתקן	דחייה: שכיחה		j-02
לתת	לתת	דחייה: שכיחה		j-04
מאוורר	מאוורר	דחייה: שכיחה		j-20
מאוחד	מאוחד	דחייה: שכיחה		j-20
מאוכזב	מאוכזב	דחייה: שכיחה		j-20
מאזניים	מאזניים	דחייה: שכיחה		j-20
מאיטות	מאיטות	דחייה: שכיחה		j-20
מאילוצים	מאילוצים	דחייה: שכיחה		j-20
מאכלים	מאכלים	דחייה: שכיחה		j-20
מאמין	מאמין	דחייה: שכיחה		j-02
מאמץ	מאמץ	דחייה: שכיחה		j-20
מאפה	מאפה	דחייה: שכיחה		j-04
מאפייה	מאפייה	דחייה: שכיחה		j-04
מבוא	מבוא	דחייה: שכיחה		j-20
מבוגר	מבוגר	דחייה: שכיחה		j-20
מבוסס	מבוסס	דחייה: שכיחה		j-20
מבזלת	מבזלת	דחייה: שכיחה	ספק: בזלת — שם סלע הנלמד בגאוגרפיה; אולי מקצועי	j-20
מבחינה	מבחינה	דחייה: שכיחה		j-20
מבחנה	מבחנה	דחייה: שכיחה		j-20
מבטאים	מבטאים	דחייה: שכיחה		j-20
מביאות	מביאות	דחייה: שכיחה		j-20
מבין	מבין	דחייה: שכיחה		j-04
מבנה	מבנה	דחייה: שכיחה		j-20
מבנים	מבנים	דחייה: שכיחה		j-20
מגבת	מגבת	דחייה: שכיחה		j-04
מגהץ	מגהץ	דחייה: שכיחה		j-04
מגובשות	מגובשות	דחייה: שכיחה		j-20
מגזעים	מגזעים	דחייה: שכיחה		j-20
מגיע	מגיע	דחייה: שכיחה		j-20
מגלשה	מגלשה	דחייה: שכיחה		j-20
מדגיש	מדגיש	דחייה: שכיחה		j-20
מדויק	מדויק	דחייה: שכיחה		j-02
מדור	מדור	דחייה: שכיחה		j-20
מדעיים	מדעיים	דחייה: שכיחה		j-20
מדף	מדף	דחייה: שכיחה		j-20
מהוצאות	מהוצאות	דחייה: שכיחה		j-20
מהותי	מהותי	דחייה: שכיחה		j-20
מהיומיום	מהיומיום	דחייה: שכיחה		j-20
מהימנים	מהימנים	דחייה: שכיחה		j-20
מהמקור	מהמקור	דחייה: שכיחה		j-20
מהנה	מהנה	דחייה: שכיחה		j-20
