⛔ מועמדים · לא עברו פאנל · אינם ממצאים
מילה	פירוש היום	מה השופט העיוור כתב	מובן שאינו במאגר
collapse	להתמוטט	לקרוס | להתמוטט | קריסה	1:לקרוס | 3:קריסה
compromise	להתפשר	פשרה | להתפשר | לסכן	1:פשרה | 3:לסכן
concern	דאגה, עניין	דאגה | עניין | להדאיג	3:להדאיג
conclusion	מסקנה	מסקנה | סיום	2:סיום
confess	להודות	להודות | להתוודות	2:להתוודות
confession	וידוי	הודאה | וידוי	1:הודאה
construct	לבנות	לבנות | מבנה	2:מבנה
contest	תחרות; לערער על, לחלוק על; להתמודד על	תחרות | לערער	2:לערער
contrary	להפך, בניגוד ל-	מנוגד | הפך	1:מנוגד | 2:הפך
copper	נחושת	נחושת | שוטר	2:שוטר
correlate	לתאם, לקשר	להתאים | לקשר	1:להתאים
dawn	שחר	שחר | להבין	2:להבין
declare	להכריז	להכריז | להצהיר	2:להצהיר
decrease	ירידה, הפחתה; להפחית, לצמצם	לרדת | להפחית | ירידה	1:לרדת
dedicated	מסור; מוקדש ל-	מסור | להקדיש	2:להקדיש
demographic	דמוגרפי	דמוגרפי | פלח אוכלוסייה	2:פלח אוכלוסייה
department-store	חנות כלבו	כלבו	1:כלבו
deposit	להפקיד, פיקדון	פיקדון | להפקיד | מקדמה	3:מקדמה
determine	לקבוע	לקבוע | לברר	2:לברר
differ	להיבדל, לחלוק	להיות שונה | לחלוק על	1:להיות שונה | 2:לחלוק על
discipline	תחום לימוד/מחקר; להעניש, לחנך, משמעת	משמעת | תחום | להעניש	2:תחום
discomfort	אי-נוחות	אי נוחות | מבוכה	1:אי נוחות | 2:מבוכה
disguise	תחפושת	תחפושת | להסוות	2:להסוות
disloyal	לא נאמן	בוגדני | לא נאמן	1:בוגדני
doorstep	מפתן הדלת	מפתן	1:מפתן
draft	גיוס; טיוטה; משיכה; רוח פרצים	טיוטה | לנסח | גיוס	2:לנסח
dull	סתום; משעמם; עמום	משעמם | קהה | עמום	2:קהה
duplicate	לשכפל	לשכפל | העתק	2:העתק
eccentric	מוזר, אקסצנטרי	תמהוני | משונה	1:תמהוני | 2:משונה
encounter	להיתקל ב-, לפגוש; מפגש, היתקלות	להיתקל | מפגש	1:להיתקל
endangered	בסכנת הכחדה	בסכנת הכחדה | לסכן	2:לסכן
engagement	התחייבות; אירוסין	מעורבות | אירוסין	1:מעורבות
ensure	להבטיח	להבטיח | לוודא	2:לוודא
establish	לייסד	לייסד | להקים | לבסס	2:להקים | 3:לבסס
every now and then	לפעמים	מדי פעם	1:מדי פעם
evolutionary	התפתחותי	אבולוציוני	1:אבולוציוני
facility	מתקן	מתקן | קלות	2:קלות
fade	לדהות, לדעוך	לדהות | להיעלם	2:להיעלם
fancy	מחבב; מגונדר	מפואר | לחבב	1:מפואר | 2:לחבב
faulty	לקוי, לא תקין	פגום | לקוי	1:פגום
favored	מועדף	מועדף | להעדיף	2:להעדיף
figure	גזרה, צורה; ספרה, מספר; דמות; לחשב, להניח, להסיק	מספר | דמות | להבין	3:להבין
finalize	לסכם, לגבש	לסיים | לגבש	1:לסיים
folk	עממי	עממי | אנשים	2:אנשים
forecast	תחזית	תחזית | לחזות	2:לחזות
forgettable	שאפשר לשכוח אותו	נשכח	1:נשכח
fortunate	בעל מזל	בר מזל	1:בר מזל
fulfill	להגשים	למלא | להגשים	1:למלא
gamble	הימר	להמר | הימור	1:להמר | 2:הימור
genuine	אמיתי, מקורי	אמיתי | כן	2:כן
gesture	מחווה	מחווה | תנועת יד	2:תנועת יד
given that	בהתחשב בכך	בהינתן ש | מאחר ש	1:בהינתן ש | 2:מאחר ש
graduate	לסיים לימודים	בוגר | לסיים לימודים	1:בוגר
gross	ברוטו, גלמי; ענק, דוחה	גועלי | ברוטו | גס	1:גועלי | 3:גס
hardly ever	כמעט אף פעם	לעיתים רחוקות	1:לעיתים רחוקות
harmless	שאינו מזיק	לא מזיק | תמים	1:לא מזיק | 2:תמים
harsh	נוקשה, אכזרי	קשה | חמור	1:קשה | 2:חמור
hilarious	מצחיק	מצחיק מאוד | משעשע	1:מצחיק מאוד | 2:משעשע
imaginative	בעל דמיון עשיר, יצירתי, מלא דמיון	יצירתי | בעל דמיון	2:בעל דמיון
import	לייבא	לייבא | ייבוא | חשיבות	2:ייבוא | 3:חשיבות
in a word	במילה אחת	בקיצור | במילה אחת	1:בקיצור
in contrast to	בניגוד ל-	בניגוד ל	1:בניגוד ל
in favor of	לטובת	בעד	1:בעד
indicate	להצביע על	לציין | להצביע על	1:לציין
influential	רב-השפעה	משפיע	1:משפיע
inject	להזריק	להזריק | להחדיר	2:להחדיר
injure	לפצוע	לפצוע | לפגוע	2:לפגוע
insist	להתעקש	להתעקש | לדרוש	2:לדרוש
integrate	לשלב	לשלב | להשתלב	2:להשתלב
involve	לערב	לכלול | לערב	1:לכלול
jog	ריצה, ג'וגינג, לרוץ	לרוץ | לרענן	2:לרענן
judgment	שיפוט	שיפוט | שיקול דעת | פסק דין	2:שיקול דעת | 3:פסק דין
just	מדויק, אמיתי; רק, בלבד; צודק, הוגן	רק | בדיוק | צודק	2:בדיוק
lane	מסלול	נתיב	1:נתיב
legalize	להפוך חוקי, לאשר	להכשיר | להסדיר	1:להכשיר | 2:להסדיר
lengthy	ארוך, מייגע	ארוך | ממושך	2:ממושך
limitation	מגבלה	הגבלה | מגבלה	1:הגבלה
luggage	מזוודות	כבודה | מזוודה	1:כבודה | 2:מזוודה
maintain	לשמור על, לתחזק; לטעון, לגרוס	לשמור | לתחזק | לטעון	1:לשמור
mandate	מנדט, ייפוי כוח	מנדט | לחייב	2:לחייב
manner	התנהגות, אופן	אופן | דרך	2:דרך
memorial	אנדרטה, מונומנט הנצחה; אזכרה; של זיכרון	אנדרטה | הנצחה	2:הנצחה
modernize	להפוך למודרני	לחדש | לעדכן	1:לחדש | 2:לעדכן
monumental	גדול, אדיר	אדיר | כביר	2:כביר
nationality	לאום	לאום | אזרחות	2:אזרחות
negotiate	לשאת ולתת	לנהל מו"מ | להתמקח	1:לנהל מו"מ | 2:להתמקח
novel	רומן, סיפור; חדש	רומן | חדשני	2:חדשני
objection	התנגדות	התנגדות | הסתייגות	2:הסתייגות
occur	קרה, התרחש	להתרחש | לקרות	1:להתרחש | 2:לקרות
odd	מוזר; אי זוגי	מוזר | אי-זוגי	2:אי-זוגי
on the contrary	להפך, אדרבא, נהפוך הוא	להיפך	1:להיפך
oppose	להתנגד ל-, להתייצב נגד	להתנגד	1:להתנגד
orchestrate	לתאם, לתזמר	לתזמר | לארגן	2:לארגן
organ	אורגן (כלי נגינה); איבר	איבר | עוגב	2:עוגב
orientation	התמצאות	התמצאות | כיוון	2:כיוון
passive	סביל	פסיבי | סביל	1:פסיבי
permit	אישור, רישיון; להרשות	להתיר | רישיון	1:להתיר
pit	בור	בור | גלעין	2:גלעין
plague	מגפה	מגפה | להטריד	2:להטריד
plot	עלילה; חלקה (חלקת אדמה); להכין תרשים; לזמום, לקשור קשר	עלילה | מגרש | לזמם	2:מגרש | 3:לזמם
polish	פולני; להבריק, לצחצח	לצחצח | ליטוש	2:ליטוש
possession	בעלות, חזקה	רכוש | חזקה	1:רכוש
praise	לשבח	לשבח | שבח	2:שבח
preferable	עדיף	עדיף | מועדף	2:מועדף
procedure	הליך, נוהל	הליך | נוהל | תהליך	3:תהליך
progressive	מתקדם ומתמשך	מתקדם | פרוגרסיבי	1:מתקדם | 2:פרוגרסיבי
property	תכונה; רכוש	רכוש | נכס | תכונה	2:נכס
publication	פרסום; מאמר/כתב עת שפורסם; הוצאה לאור	פרסום | כתב עת	2:כתב עת
radically	באופן קיצוני	באופן קיצוני | מהיסוד	2:מהיסוד
rather	עדיף; למדי	די | למדי	1:די
recall	להיזכר; להחזיר, להשיב צלצול	לזכור | להיזכר	1:לזכור
refund	החזר	החזר כספי | להחזיר	1:החזר כספי | 2:להחזיר
refuse	אשפה, זבל; לסרב	לסרב | פסולת	2:פסולת
remains	נשאר, עדיין; שרידים	להישאר | שריד	1:להישאר | 2:שריד
remarkable	ראוי לציון, יוצא דופן	יוצא דופן | מדהים	2:מדהים
reservation	שמורה; שריון מקום	הזמנה | הסתייגות	1:הזמנה | 2:הסתייגות
result in	הסתיים ב-	לגרום ל | להוביל ל	1:לגרום ל | 2:להוביל ל
retreat	לסגת, נסיגה	לסגת | נסיגה | מפלט	3:מפלט
revolutionary	מהפכני	מהפכני | מהפכן	2:מהפכן
rubbish	זבל; שטויות	זבל | אשפה	2:אשפה
scale	מאזניים; לעלות, לטפס; סולם, סקלה	קנה מידה | מאזניים | לטפס	1:קנה מידה
severe	חמור	חמור | קשה	2:קשה
slight	קל, מעט	קל | זעיר | להעליב	2:זעיר | 3:להעליב
snap	להישבר; במהירות (סלנג)	להישבר | תצלום | לצלם	2:תצלום | 3:לצלם
sober	פיכח	מפוכח | רציני	1:מפוכח | 2:רציני
sophisticated	מתוחכם	מתוחכם | מתורבת	2:מתורבת
spontaneously	ללא תכנון	ספונטנית	1:ספונטנית
spring	מעיין; אביב	אביב | מעיין | קפיץ	3:קפיץ
steam	אד, לאדות	קיטור | אדים | לאדות	1:קיטור | 2:אדים
strike	הכה, התקיף; שביתה	להכות | שביתה | לפגוע	1:להכות | 3:לפגוע
stun	להמם	להמם | לזעזע	2:לזעזע
subjective	אישי, משוחד בדעתו	סובייקטיבי	1:סובייקטיבי
suspense	השהיה, מתח	מתח | דריכות	2:דריכות
sweep	לטאטא	לטאטא | לגרוף	2:לגרוף
temple	מקדש	מקדש | רקה	2:רקה
terminate	לסיים, לחסל	לסיים | להפסיק	2:להפסיק
throughout	במשך, בכל	לאורך כל | בכל רחבי	1:לאורך כל | 2:בכל רחבי
thus	לכן, כך ש-	לכן | לפיכך	2:לפיכך
to begin with	בתור התחלה	ראשית	1:ראשית
trial	נסיון; משפט	משפט | ניסוי	2:ניסוי
unattractive	לא מושך	לא מושך | לא אטרקטיבי	2:לא אטרקטיבי
unconscious	מחוסר הכרה	מחוסר הכרה | לא מודע	2:לא מודע
uncountable	אינספור	אינספור | בלתי ספיר	2:בלתי ספיר
unfamiliar	לא מוכר	לא מוכר | זר	2:זר
unorthodox	לא שגרתי, לא מקובל	לא שגרתי | חריג	2:חריג
unwilling	לא מוכן, ממאן	לא מוכן | לא מעוניין	2:לא מעוניין
vertical	מאונך	אנכי	1:אנכי
volume	נפח; כרך; עוצמת קול	נפח | עוצמה | כרך	2:עוצמה
withdraw	לסגת, לפרוש	לסגת | למשוך | לפרוש	2:למשוך
adore	העריץ, אהב	להעריץ | לאהוב מאוד	1:להעריץ | 2:לאהוב מאוד
agony	ייסורים	ייסורים | סבל	2:סבל
align	להסתדר בשורה	ליישר | להתאים	1:ליישר | 2:להתאים
amusement	שעשוע	שעשוע | בידור	2:בידור
anchor	עוגן	עוגן | לעגון | קריין	2:לעגון | 3:קריין
antique	עתיק, ענתיקה	עתיק | עתיקה	2:עתיקה
asset	נכס	נכס | יתרון	2:יתרון
assign	למנות, להקצות	להקצות | להטיל	2:להטיל
authorize	להרשות, להסמיך	להסמיך | לאשר	2:לאשר
bandage	תחבושת	תחבושת | לחבוש	2:לחבוש
brainwash	לשטוף את המוח	לשטוף מוח	1:לשטוף מוח
caution	זהירות; להזהיר	זהירות | אזהרה | להזהיר	2:אזהרה
certify	להצהיר, לאשר	לאשר | להסמיך	2:להסמיך
circuit	מסלול, להקיף; מעגל חשמלי	מעגל | מסלול	1:מעגל
coastline	קו/רצועת חוף	קו חוף | חוף	1:קו חוף | 2:חוף
compensate	לפצות	לפצות | לקזז	2:לקזז
compost	זבל אורגני	קומפוסט	1:קומפוסט
conquer	לכבוש	לכבוש | להתגבר על	2:להתגבר על
consistent	עקבי	עקבי | תואם	2:תואם
consistently	בעקביות	בעקביות | באופן קבוע	2:באופן קבוע
consume	לצרוך	לצרוך | לכלות	2:לכלות
consumers	צרכנים	צרכן	1:צרכן
cornerstone	אבן פינה	אבן פינה | יסוד	2:יסוד
crop	לקצץ; יבול	יבול | לגזור	2:לגזור
dairy	מחלבה	חלבי | מחלבה	1:חלבי
deform	לעוות	לעוות | לסלף	2:לסלף
dense	צפוף, סמיך	צפוף | סמיך | טיפש	3:טיפש
desirable	נחשק	רצוי | מבוקש	1:רצוי | 2:מבוקש
devastated	הרוס, מפורק	הרוס | שבור	2:שבור
dictate	להכתיב, לפקד	להכתיב | ציווי	2:ציווי
disapproving	לא מאשר, לא מסכים, לא מרוצה	להתנגד | לגנות	1:להתנגד | 2:לגנות
disciplined	חינך, העניש; ממושמע	ממושמע | מאופק	2:מאופק
disobey	להפר, לא לציית	לא לציית | למרוד	2:למרוד
distract	להסיח את הדעת	להסיח דעת	1:להסיח דעת
distribution	הפצה	הפצה | חלוקה | התפלגות	2:חלוקה | 3:התפלגות
downhill	מדרון, מורד	במורד | מתדרדר	1:במורד | 2:מתדרדר
drain	לנקז; ניקוז	לרוקן | נקז	1:לרוקן | 2:נקז
drift	זרם, סחף	לנדוד | ערימה | נטייה	1:לנדוד | 2:ערימה | 3:נטייה
drip	לטפטף	לטפטף | טיפה	2:טיפה
dwarf	לגמד, גמד	גמד | להאפיל על	2:להאפיל על
enrage	להרגיז, להכעיס	להכעיס | להרתיח	2:להרתיח
equivalent	מקבילה	שווה ערך | מקבילה	1:שווה ערך
erosion	סחף, כרסום	שחיקה	1:שחיקה
essentially	בעיקרו, במהותו	בעצם	1:בעצם
evident	ברור, נראה לעין	ניכר | ברור	1:ניכר
exceptional	יוצא דופן, מעולה	יוצא דופן | מצוין	2:מצוין
exclude	לא לכלול, להוציא מן הכלל, להדיר; למנוע כניסה	להחריג | לא לכלול	1:להחריג
exhibit	להציג, מוצג	להציג | תערוכה	2:תערוכה
expedition	משלחת	משלחת | מסע	2:מסע
extract	לחלץ, להוציא, לעקור; להפיק; תמצית	לחלץ | תמצית | קטע	3:קטע
faithful	נאמן	נאמן | מדויק	2:מדויק
farther	רחוק יותר, הלאה, יותר	רחוק	1:רחוק
fasten	להדק	להדק | לחבר	2:לחבר
fierce	עז, פראי	עז | אכזרי	2:אכזרי
findings	ממצאים	ממצא	1:ממצא
flee, fled	להימלט, נמלט	לברוח | להימלט	1:לברוח
fluid	נוזל	נוזל | נזיל	2:נזיל
frequent	תדיר, שכיח	תכוף | לפקוד	1:תכוף | 2:לפקוד
govern	למשול	לשלוט | לנהל	1:לשלוט | 2:לנהל
grapes	ענבים	ענב	1:ענב
grocery	מכולת	מכולת | מצרכים	2:מצרכים
guidance	הנחיה, הכוונה, הנהגה	הדרכה | הכוונה	1:הדרכה
handful	קומץ	קומץ | חופן	2:חופן
herb	עשב	עשב תיבול	1:עשב תיבול
housemaid	עוזרת בית, מנקה	עוזרת בית | משרתת	2:משרתת
implement	ליישם, להוציא לפועל	ליישם | כלי	2:כלי
inconsistent	לא עקבי	לא עקבי | סותר	2:סותר
ingredient	מרכיב	מרכיב | רכיב	2:רכיב
invaders	פולשים	פולש	1:פולש
inventory	מצאי	מלאי | רשימת מלאי	1:מלאי | 2:רשימת מלאי
jewel	תכשיט	תכשיט | אבן חן	2:אבן חן
just as... so...	בדיוק כמו... גם	כשם ש... כך	1:כשם ש... כך
malfunction	כשל, ליקוי	תקלה | להתקלקל	1:תקלה | 2:להתקלקל
manufacture	ייצר	לייצר | ייצור	1:לייצר | 2:ייצור
margin	שוליים, מרווח	שוליים | רווח | הפרש	2:רווח | 3:הפרש
merge	למזג, לחבר	למזג | להתמזג	2:להתמזג
narration	קריינות	קריינות | תיאור	2:תיאור
obligation	התחייבות	התחייבות | חובה	2:חובה
observer	משקיף	משקיף | צופה	2:צופה
occasional	מדי פעם, מקרי	מזדמן | לא תדיר	1:מזדמן | 2:לא תדיר
occasions	הזדמנויות, מקרים	אירוע | הזדמנות	1:אירוע | 2:הזדמנות
offender	פושע, פוגע	עבריין	1:עבריין
offense	עבירה; פגיעה	עבירה | עלבון | התקפה	2:עלבון | 3:התקפה
outpost	מוצב, נקודת קצה	מוצב | מאחז	2:מאחז
overlaps	חופף	לחפוף | חפיפה	1:לחפוף | 2:חפיפה
overly	יותר מידי	יותר מדי	1:יותר מדי
partial	חלקי	חלקי | מוטה	2:מוטה
participate	השתתף	להשתתף	1:להשתתף
peek	להציץ	להציץ | הצצה	2:הצצה
performer	מבצע, מציג	מבצע | אמן	2:אמן
poll	סקר, הצבעה	סקר | קלפי	2:קלפי
prediction	חיזוי, ניבוי	תחזית | ניבוי	1:תחזית
promote	לקדם	לקדם | לפרסם	2:לפרסם
proportion	שיעור, מידה	יחס | פרופורציה | חלק	1:יחס | 2:פרופורציה | 3:חלק
publicized	פורסם	לפרסם	1:לפרסם
pupil	תלמיד	תלמיד | אישון	2:אישון
quake	רעד	לרעוד | רעידת אדמה	1:לרעוד | 2:רעידת אדמה
qualify	להיות מוסמך	להעפיל | להסמיך	1:להעפיל | 2:להסמיך
railroad	מסילת רכבת	מסילת ברזל | רכבת	1:מסילת ברזל | 2:רכבת
reconstruct	לשחזר	לשחזר | לבנות מחדש	2:לבנות מחדש
recruit	לגייס	לגייס | טירון	2:טירון
reflection	השתקפות	השתקפות | הרהור	2:הרהור
regain	להשיג מחדש	להשיב | לשחזר	1:להשיב | 2:לשחזר
regardless	למרות, ללא קשר	בכל זאת | ללא קשר	1:בכל זאת
regulation	תקנה	תקנה | רגולציה	2:רגולציה
relate	להתייחס, לקשר	להתייחס | לספר	2:לספר
relocate	למקם מחדש	לעבור | להעביר	1:לעבור | 2:להעביר
reside	להתגורר, לשכון	להתגורר | לגור	2:לגור
resigned	התפטר	להתפטר | משלים	1:להתפטר | 2:משלים
revert	לחזור למצב קודם	לחזור	1:לחזור
revived	קם לתחייה, התחדש	להחיות | להתאושש	1:להחיות | 2:להתאושש
robe	חלוק	חלוק | גלימה	2:גלימה
safeguard	להגן; אמצעי הגנה	להגן | הגנה	2:הגנה
scholar	אקדמאי, בעל מלגה, מלומד	מלומד | חוקר	2:חוקר
sensation	תחושה	תחושה | סנסציה	2:סנסציה
shuttle	מעבורת	הסעה | מעבורת	1:הסעה
sibling	אח או אחות	אח | אחות	1:אח | 2:אחות
sideways	הצידה	הצידה | לרוחב	2:לרוחב
simultaneously	בו זמנית	בו-זמנית | במקביל	1:בו-זמנית | 2:במקביל
sneeze	להתעטש	להתעטש | עיטוש	2:עיטוש
spark	גיץ, ניצוץ	ניצוץ | לעורר | להצית	2:לעורר | 3:להצית
specify	לפרט	לציין | לפרט	1:לציין
stain	כתם	כתם | להכתים	2:להכתים
stalk	גבעול, קנה; לעקוב/לארוב אחרי, להטריד	לעקוב אחרי | גבעול	1:לעקוב אחרי
stunned	נדהם, היה המום	המום	1:המום
substitute	תחליף	תחליף | להחליף	2:להחליף
suburb	פרבר	פרוור	1:פרוור
summits	פסגות	פסגה | ועידת פסגה	1:פסגה | 2:ועידת פסגה
suppress	לדכא, לכבוש	לדכא | להשתיק	2:להשתיק
suspend	להשעות	להשעות | לתלות | להשהות	2:לתלות | 3:להשהות
terrify	להפחיד, להבעית	להפחיד | להבהיל	2:להבהיל
tilt	להטות, שיפוע	להטות | הטיה	2:הטיה
tolerance	סובלנות	סובלנות | סבילות	2:סבילות
trim	לגזום	לגזום | לקצץ	2:לקצץ
troop	יחידה צבאית; חייל	יחידה	1:יחידה
tutor	מורה פרטי, להדריך	מורה פרטי | ללמד	2:ללמד
unconcerned	לא מודאג	אדיש | לא מודאג	1:אדיש
unconventional	לא שיגרתי	לא שגרתי	1:לא שגרתי
unholy	לא קדוש, לא מוסרי	לא קדוש | נורא	2:נורא
utilize	השתמש	להשתמש ב | לנצל	1:להשתמש ב | 2:לנצל
validate	אימת, נתן תוקף	לאמת | לאשר	1:לאמת | 2:לאשר
vest	אפודה	אפוד | גופייה	1:אפוד | 2:גופייה
wander	להסתובב, לשוטט	לשוטט | לתעות	2:לתעות
whether... or...	בין אם... או...	בין אם... ובין אם...	1:בין אם... ובין אם...
widely	בצורה נרחבת	בהרחבה	1:בהרחבה
acknowledge	להכיר ב-, להודות ב-; לאשר קבלה	להודות | לאשר	1:להודות | 2:לאשר
adjust	להתרגל; לכוונן	להתאים	1:להתאים
admirable	נערץ, ראוי להערצה	מעורר הערצה | מרשים	1:מעורר הערצה | 2:מרשים
advancement	התקדמות; מקדמה	קידום | התקדמות	1:קידום
advocate	תומך, מצדד; פרקליט; לדגול ב-, לתמוך בגלוי ב-	לתמוך | תומך	1:לתמוך
airborne	נישא באוויר	מוטס | באוויר	1:מוטס | 2:באוויר
appeal	לבקש; מדבר אל, מושך; לערער	משיכה | לפנות | לערער	1:משיכה | 2:לפנות
applaud	מחא כפיים, הריע	למחוא כפיים | להריע	1:למחוא כפיים | 2:להריע
arise	להופיע, לעלות	לצוץ | להתעורר	1:לצוץ | 2:להתעורר
arousing	מעורר	מעורר | מגרה | לעורר	2:מגרה | 3:לעורר
bare	חשוף, ריק, לחשוף	חשוף | עירום	2:עירום
beneficial	מועיל, רווחי	מועיל | מיטיב	2:מיטיב
beware	היזהר	להיזהר	1:להיזהר
breed	מין, גזע; להרביע, להפרות	לגדל | זן	1:לגדל | 2:זן
briefly	בקצרה	בקצרה | לזמן קצר	2:לזמן קצר
cater	לספק	לספק קייטרינג | לשרת	1:לספק קייטרינג | 2:לשרת
certainty	וודאות	ודאות	1:ודאות
characteristic	מאפיין	מאפיין | אופייני	2:אופייני
civil	אדיב; אזרחי	אזרחי | מנומס	2:מנומס
cockroach	מקק, ג'וק	ג'וק | תיקן	2:תיקן
coffin	ארון מתים	ארון קבורה	1:ארון קבורה
cologne	קולון, בושם (של גבר)	אודקולון | בושם	1:אודקולון
comply	להסכים, לציית	לציית | לקיים	2:לקיים
conquistador	כובש	כובש | קונקיסטדור	2:קונקיסטדור
considering	בהתחשב ב-, לאור; (כפועל) שוקל	בהתחשב ב | לאור	1:בהתחשב ב
continuity	המשכיות, רצף הגיוני	רציפות | המשכיות	1:רציפות
conveniently	באופן נוח	בנוחות	1:בנוחות
convention	מוסכמה; ועידה, כנס	מוסכמה | כנס | אמנה	3:אמנה
cripple	להטיל מום	לשתק | נכה	1:לשתק | 2:נכה
crucial	מכריע, קריטי	חיוני | קריטי	1:חיוני
dart	חץ	חץ | לזנק	2:לזנק
dealt	עסק ב, חולק (קלפים, ניירת)	להתמודד | לטפל | לחלק	1:להתמודד | 2:לטפל | 3:לחלק
decay	ריקבון	להירקב | ריקבון	1:להירקב
decline	לרדת; לדחות; ירידה	לרדת | לסרב | ירידה	2:לסרב
deflate	להוציא אוויר מ-	לרוקן | להחליש	1:לרוקן | 2:להחליש
delight	תענוג	תענוג | לשמח	2:לשמח
descend	ירד, הדרדר	לרדת	1:לרדת
despair	להתייאש	ייאוש | להתייאש	1:ייאוש
determined	נחוש, נחרץ	נחוש | לקבוע	2:לקבוע
discontent	חוסר שביעות רצון	אי שביעות רצון	1:אי שביעות רצון
disgrace	בושה	חרפה | קלון	1:חרפה | 2:קלון
disposable	חד-פעמי	חד פעמי	1:חד פעמי
dissolve	להתמוסס	להתמוסס | לפרק	2:לפרק
distinct	ברור, נפרד	מובהק | נבדל	1:מובהק | 2:נבדל
distress	מצוקה	מצוקה | לצער	2:לצער
disuse	חוסר שימוש	אי-שימוש	1:אי-שימוש
divine	אלוהי	אלוהי | לנחש	2:לנחש
due	צריך להיעשות, זמנו הגיע; בשל	מגיע | צפוי	1:מגיע | 2:צפוי
eager	נלהב, משתוקק, כמה	להוט | נלהב	1:להוט
embrace	לחבק, לאמץ לקרבו	לחבק | לאמץ	2:לאמץ
emerge	להגיח, להופיע	לצוץ | להופיע	1:לצוץ
endurance	כוח סבל	סיבולת	1:סיבולת
endure	לסבול, להחזיק מעמד	לסבול | לשרוד	2:לשרוד
enhance	להעצים	לשפר | להעצים	1:לשפר
enthusiast	חובב נלהב	חובב	1:חובב
estate	אחוזה; נכס	אחוזה | עיזבון	2:עיזבון
excessive	יתר, מוגזם	מופרז	1:מופרז
exhaust	לרוקן, למצות, להתיש; (ש״ע) גזי פליטה, צינור מפלט	להתיש | למצות | פליטה	3:פליטה
exile	להגלות, לגרש	גלות | להגלות | גולה	1:גלות | 3:גולה
exploit	פעולות, מעשים; לנצל, להפיק תועלת	לנצל | הישג	2:הישג
fabric	בד	בד | מרקם	2:מרקם
fine	קטן, עדין, דקיק; משביע רצון; משובח, מצוין; קנס	בסדר | קנס | עדין	1:בסדר
firm	מוצק; נחוש, תקיף; חברה (פירמה)	יציב | תקיף | חברה	1:יציב
footage	קטע צילום	קטעי וידאו	1:קטעי וידאו
for the sake of	למען	למען | בשביל	2:בשביל
forceful	תקיף, נמרץ, בעל עוצמה	תקיף | עוצמתי	2:עוצמתי
fragrance	ניחוח	ניחוח | בושם	2:בושם
fundraiser	מגייס כספים	גיוס כספים	1:גיוס כספים
genesis	ספר בראשית; היווצרות, התהוות	ראשית	1:ראשית
glance	מבט חטוף	מבט | להעיף מבט	1:מבט | 2:להעיף מבט
goods	סחורה, טובין	סחורה | מוצרים	2:מוצרים
grace	חסד, חינניות	חן | חסד	1:חן
grief	יגון, צער	צער | אבל	2:אבל
growled	נהם	לנהום	1:לנהום
habitat	סביבת מגורים	בית גידול | סביבת מחיה	1:בית גידול | 2:סביבת מחיה
halve	לחלק לשניים, להקטין בחצי	לחלק לחצי	1:לחלק לחצי
hibernate	לישון שנת חורף	לחרוף	1:לחרוף
howl	יללה, לילל	לייליל | יללה	1:לייליל
ignite	להצית	להצית | לעורר	2:לעורר
implications	השלכות, משמעות	השלכה | משמעות	1:השלכה
impose	לכפות	להטיל | להטריח	1:להטיל | 2:להטריח
imprisoned	כלוא	לכלוא | כלוא	1:לכלוא
impulsively	ללא שיקול דעת	בפזיזות	1:בפזיזות
inadequate	לקוי, לא מספיק	לא מספיק | לא הולם	2:לא הולם
incidentally	דרך אגב	אגב	1:אגב
incompetence	חוסר יכולת	חוסר כשירות	1:חוסר כשירות
indebted	חייב ל-, אסיר תודה	אסיר תודה | חייב	2:חייב
infiltrate	להסתנן	לחדור	1:לחדור
inhabitants	תושבים	תושב	1:תושב
intact	ללא פגע	שלם | ללא פגע	1:שלם
intersection	צומת, הצטלבות	צומת | חיתוך	2:חיתוך
intimidate	להפחיד	להפחיד | לאיים	2:לאיים
janitor	שרת	אב בית | שרת	1:אב בית
laid	מונח	להניח | להטיל	1:להניח | 2:להטיל
lean	להישען	להישען | רזה	2:רזה
lie, lay	לשכב, שכב	לשכב | להימצא	2:להימצא
likewise	כמו-כן, באותו אופן	כמו כן | גם כן	1:כמו כן | 2:גם כן
limb	גף, איבר; קצה	גפה | איבר	1:גפה
lurking	אורב, מתגנב	לארוב | להתחבא	1:לארוב | 2:להתחבא
magnitude	גודל, חשיבות	גודל | עוצמה	2:עוצמה
mastery	מומחיות	שליטה | מומחיות	1:שליטה
match	גפרור; התאמה, להתאים	משחק | גפרור | להתאים	1:משחק
medieval	מתקופת ימי הביניים	ביניימי	1:ביניימי
merit	ערך, הישג	מעלה | להצדיק	1:מעלה | 2:להצדיק
mild	מתון, עדין	מתון | קל	2:קל
misty	מעורפל	ערפילי | מעורפל	1:ערפילי
modest	צנוע	צנוע | מתון	2:מתון
moist	לח, לחלוחי, טחוב	לח | רטוב	2:רטוב
mole	חפרפרת; שומה	חפרפרת | שומה | מרגל	3:מרגל
mourning	אבל, מתאבל	אבל | להתאבל	2:להתאבל
mutually	באופן שווה/הדדי	הדדית	1:הדדית
newscaster	מגיש חדשות	קריין חדשות	1:קריין חדשות
nobility	אצולה	אצולה | אצילות	2:אצילות
numb	רדום, חסר תחושה	קהה	1:קהה
numerous	מרובה	רב	1:רב
