מילה	סיווג	הסיבה	מה מכסה אותה	יחידה בישן	פירוש	סיווג מכני	חפיפה %	הקרוב בחדש
בְּחִישָׁה	שווה	מילה אמיתית לא שכיחה מדי (ערבוב), אין מועמד אמיתי		10	ערבוב	אולי	0	
בִּכּוּרִים	שווה	פרי ראשון/יצירה ראשונה - שונה מ"הניב" (הפיק), אינה מכוסה		10	פירות היבול הראשון שהועלו למקדש; יצירתו הראשונה של אמן או סופר	שווה	11	הניב
בִּמְבֵּם	שווה	אין קשר ל"לשוא"; מילה אמיתית (המהם מנגינה ללא מילים) שאינה מכוסה		10	פיזם מנגינה ללא מילים, זמזם, המהם	שווה	17	לשוא
גְּלָלִים	שווה	אין קשר בין "ינקות" (גיל הרך) ל"גללים" (צואת בהמות); מילה אמיתית שאינה מכוסה		10	צואת בעלי החיים	אולי	33	ינקות
דָּא עָקָא	שווה	ניב ארמי אטום, לא ניתן לנחש מהמרכיבים, אינו מכוסה כלל		10	זו הצרה, זו הבעיה	אולי	0	
הֶגְמוֹנְיָה	שווה	מונח אקדמי-פוליטי (שליטה, עליונות) שאינו שכיח מדי, אינו מכוסה		10	שליטה, שלטון עליון, עליונות	שווה	25	התיפח
הִכְפִּיף	שווה	"בכפיפה אחת" (יחד) שונה מ"הכפיף" (העמיד תחת מרות); אין קשר אמיתי ל"הסב"		10	שם מישהו תחת מרותו של מישהו אחר	אולי	25	הסב
הַלְמוּת	שווה	מילה ספרותית אטומה יחסית (דפיקה בקצב קבוע), אין קשר ל"ארעי"		10	דפיקה בקצב קבוע, מכה, נקישה	שווה	20	ארעי
הִנְפִּיק	שווה	מונח כלכלי-מנהלי שימושי (הנפיק ניירות ערך/מסמכים), אינו מכוסה		10	ייצר והוציא לשוק שטרות, מניות או מסמכים רשמיים	שווה	0	
הִתְבַּדְּרוּת	שווה	"מוץ" לא קשור למשמעות המרכזית (בידור, שעשוע), רק לדימוי משני		10	השתעשע (מהמילה בִּידוּר); התפזר (שיערה התבדר ברוח)	שווה	14	מוץ
הִתְלַהֵם	שווה	מילה אמיתית ואטומה למדי (התכתשות, התנהגות תוקפנית), אינה מכוסה		10	התכתש, השתולל, התנהג בתוקפנות	אולי	0	
הִתְנוֹפֵף	שווה	"הדס" מתאר הליכת אדם, "התנופף" מתאר תנועת דגל/ענף ברוח - הקשר שונה לחלוטין		10	התנועע ברוח מצד לצד	שווה	50	הדס
זִבְדָה	שווה	מילה נדירה יחסית (שמנת), אין קשר אמיתי ל"זבד" (מתנה - הומוגרף בלבד)		10	שמנת	אולי	0	
זְמָם	שווה	אין קשר בין "חברבורה" (כתם בעור) ל"זמם" (מחסום פה)		10	אבזר רסן החוסם את פיו של בעל חיים, מונע נשיכה ונביחה	שווה	22	חברבורה
חָרוּל	שווה	חולק בתוקף על הסיווג המכני (100%) - צמח קוצני ספציפי, שונה מ"דרבן" (כלי דקירה); חפיפה מילולית (קוץ) מטעה כמו בדוגמת ניחא בתדריך		10	קוץ	אולי	100	דרבן
יְהָב	שווה	"נטע" עוסק בעיקר בשתילה, קשור לתקווה רק כדוגמה אידיומטית; "יהב" מילה עצמאית (השליך יהבו)		10	תקווה, סיכוי (השליך יהבו על מישהו - תלה בו תקוות)	אולי	29	נטע
כִּמֵּת	שווה	"דלל" (דילל, המהיל) שונה מ"כימת" (מדד כמות)		10	מלשון כמות - ביצע מדידת כמות, מדד	שווה	33	דלל
לְמֵישָׁרִין	שווה	אין קשר בין "לשוא" (לחינם) ל"למישרין" (כראוי, ללא בעיה)		10	כמו שצריך, ללא כל בעיה	אולי	33	לשוא
מִזְכָּר	שווה	מכתב לא-רשמי, בניגוד מפורש לאגרת שהיא מכתב רשמי - הבחנה מהותית בהגדרה עצמה		10	מכתב קצר ולא רשמי בנוגע לעניין מסוים	שווה	29	אגרת
מִסְדָּר	שווה	"שחר" התאמה מקרית (יסוד/בסיס); "מסדר" (התאגדות על בסיס משותף) אינו מכוסה		10	התאחדות של אנשים על יסוד רקע משותף	אולי	20	שחר
נִפְרַע	שווה	משמעות כפולה (שולם/נקם) שאינה מכוסה כלל		10	שולם; נקם (במישהו)	שווה	0	
נִצַּחַת	שווה	"בר סמכא" מתאר אדם בעל סמכות, "ניצחת" מתארת דבר (תשובה/ניצחון) שהוא מכריע - הבדל מהותי		10	נחרצת, מכרעת	שווה	50	בר סמכא
סָר מֵרַע	שווה	ניב מקראי אטום (מי שנמנע מחטא), אינו מכוסה כלל		10	מי שנמנע מלחטוא	אולי	0	
פְּעָמָיו	שווה	"כלכל את צעדיו" היא רק דוגמה אידיומטית ל"כלכל" (פרנס/תכנן), לא הגדרתו; אין קשר אמיתי ל"פעמיו" (צעדיו)		10	צעדיו (פַּעַם=צעד=שַׁעַל)	שווה	50	כלכל
פְּרִישוּת	שווה	"הולל" הוא ניגוד ממש (הוללות מול פרישות/התנזרות) - הפוכים, לא כיסוי		10	התנזרות מתענוגות, חיי צניעות	אולי	25	הולל
פָּרַף	שווה	"הגיף" עוסק בסגירת דלת/תריס, "פרף" בכפתורים/רוכסן - תחומים שונים		10	סגר באמצעות כפתורים או רוכסן	שווה	25	הגיף
צֶדַע / צְדָעַיִם / צְדָעוֹת	שווה	אין קשר בין "לקט" (איסוף) ל"צדע" (רקה, חלק בראש)		10	רקה/רקות, כל אחד מצדי המצח ליד האוזן	שווה	14	לקט
צְנִיפָה	שווה	"רסן" אבזר רתימה פיזי, "צניפה" קול/צהלת סוס - תחומים שונים לחלוטין		10	צהלת הסוס	שווה	50	רסן
קַל תְּפִיסָה	שווה	אין קשר אמיתי בין "חפוז" (נחפז) ל"קל תפיסה" (תופס מהר)		10	כינוי למי שמבין דברים במהירות	אולי	20	חפוז
רִפְרֵף	שווה	אין קשר בין "התיפח" (בכה) ל"ריפרף" (עבר בחטף/התנועע בקלילות)		10	עבר על נושא בחטף ובלי לעיין; נע או עף בתנועות קלות וחוזרות	אולי	10	התיפח
שִׁפּוּל	שווה	אין קשר בין "תנוך" (חלק באוזן) ל"שיפול" (תחתית, כגון שיפולי הרים)		10	תחתית, החלק הנמוך (שיפולי ההרים - המדרונות התחתיים)	אולי	14	תנוך
שָׁת	שווה	הומוגרף מקרי ("שת"=הניח, לא "שם" כמוניטין), כמו בדוגמת ניחא בתדריך; גם "השית" מאותו שורש הוא בבניין/במשמעות שונה (הטיל, לא רק הניח)		10	שם, הניח	אולי	50	מוניטין
אֶשְׁכּוֹל	אולי	הפירוש הקונקרטי (אשכול ענבים) שכיח מדי, אך הפירוש המופשט (קבוצת פריטים או יישובים קשורים) עשוי להיות מונח שימושי שאינו מכוסה.		1	צבר פירות או ניצנים היוצאים מעוקץ אחד; קבוצת פריטים קשורים זה לזה	אולי	10	הניב
הִגֵּר	אולי	מילה נפוצה למדי בחדשות (הגירה), ספק אם שכיחה מדי לרמת פסיכומטרי; "זה מכבר" הקרוב אינו קשור כלל.		1	עבר מארץ אחת לאחרת והשתקע בה לפרק זמן ממושך	אולי	11	זה מכבר
הַס	אולי	מילת קריאה ספרותית לשקט; ספק אם שכיחה מדי (הביטוי "הס מלהזכיר") או ראויה כפריט מבחן נפרד.		1	מילת ציווי הדורשת שקט	אולי	25	חרישי
הִצְפִּין	אולי	לפועל שני פירושים שונים (נע צפונה / הסתיר); ספק אם שני החושים דורשים כיסוי נפרד או שאחד מהם כבר מכוסה במילים אחרות.		1	נע צפונה; העלים, החביא	אולי	25	זע
הִתְחַלָּה	אולי	קרוב מאוד ל"התחסד" (העמיד פני צדיק) במבנה אך שונה בתוכן (העמדת פני חולה); ספק אם ההבחנה חדה מספיק לפריט נפרד.		1	העמיד פני חולה, התחזה לחולה	אולי	40	התחסד
חֲרִי (אַף)	אולי	ניב לכעס עז קרוב מאוד ל"בערה חמתו" הקיים; כמו חמה/עברה בתדריך, נרדפות לכעס אינן בהכרח כפילות, אך יש ספק אמיתי אם כבר מכוסה.		1	כעס, חֵמה, זעם	לא שווה	67	בערה חמתו
מְבוּסָם	אולי	"שיכור קלות" הוא רישום מדובר-יומיומי; ספק אם שכיח מדי, ולא קשור כלל ל"זע" הקרוב.		1	שיכור קלות, שתוי; מעט שיכור	שווה	20	זע
מְשׁוּנָּן	אולי	תואר טכני-פיזי (בעל שיניים או צורת שיניים); ספק אם מונח צר מדי או פריט מבחן תקין.		1	בעל שיניים או בעל צורה של שיניים	אולי	40	אנין
עַלְוָוה	אולי	שם עצם ספרותי (עלווה); ספק אם שכיח מספיק אצל תלמידי תיכון או קשה מדי; "אושה" הקרוב אינו קשור באמת.		1	כלל העלים המכסים את העץ	אולי	25	אושה
פֶּרֶא	אולי	"חמור פרא / חסר תרבות" נפוצה יחסית, ספק אם שכיחה מדי לרמת פסיכומטרי.		1	חמור הבר; חסר תרבות	אולי	25	תפל
מְגֻבָּב	אולי	תואר נדיר; ספק אם קרוב מדי ל"שחוח" במובן הכפיפה הפיזית או שונה מספיק (ערימת חפצים מול כפיפת גוף).		1	ערוך בערימה, מועמס זה על גב זה	אולי	25	שחוח
מְעִילָה	אולי	קרובה מאוד ל"מעל" (בגד באמון) שכבר בחדש; ספק אם שם העצם מוסיף די על הפועל הקיים כדי להיחשב פריט נפרד.		1	שימוש לרעה בכסף או ברכוש שהופקד בידיו; ניצול תפקיד לטובת עצמו	אולי	20	מעל
אֲדָנִית	אולי	נגזרת אפשרית מ"אדן" שכבר בחדש, אך המשמעות הספציפית (עציץ על אדן החלון) אינה בהכרח שקופה ממנו.		2	עציץ מוארך המונח בדרך-כלל על אדן החלון	שווה	33	אדן
בִּיוֹגְרַפְיָה	אולי	מילה לועזית נפוצה יחסית; ספק אם שכיחה מדי לרמת המבחן.		2	תאור תולדותיו של אדם מסוים	אולי	33	מרבץ
גִּיל/גִּילָה	אולי	נרדף קרוב ל"חדוה" (שמחה); כמו חמה/עברה בתדריך נרדפות אינן כפילות אוטומטית, אך יש ספק אמיתי בגלל הקרבה הרבה במשמעות.		2	שמחה, ששון, אושר	אולי	33	חדוה
גְּמִילָה	אולי	שם עצם דו-משמעי (גמילה מהרגל מזיק / הבשלת פרי); ספק אם שני החושים דורשים כיסוי נפרד או ש"גלעין" הקרוב שונה מספיק.		2	השתחררות מהרגל מזיק; הבשלת הפרי	אולי	20	גלעין
גַּנְזַך	אולי	שם עצם למקום אחסון ארכיוני; ספק אם מונח ארכיוני-מקצועי צר מדי.		2	ארכיב, ארכיון, מקום לאכסון מסמכים (לרוב ממשלתי)	אולי	14	שכיח
הוֹכִיחַ	אולי	פועל דו-משמעי נפוץ (הוכחה בעדויות / נזיפה); ספק אם שכיח מדי בהיכרות בסיסית.		2	ביסס טענה בעזרת עדויות או היגיון; גער במישהו על מעשיו	אולי	13	אשש
הִכְמִין	אולי	פועל להנחה במקום מסתור; ספק אם קרוב מדי ל"שהה" (להישאר זמן־מה) או שונה מספיק (הסתרה מכוונת מול שהייה).		2	הניח במקום מסתור, החביא, הסתיר	אולי	20	שהה
הִשְׁכִּין	אולי	פועל רב-משמעי (יישוב שלום, יישוב דיירים, הנחה); ספק אם המשמעויות מכוסות חלקית על ידי "שכן" שבמשפחה.		2	הביא למצב רצוי כמו שלום או אווירה נוחה; יישב דיירים במקום מגורים; הניח, שם	אולי	8	שהה
הִשְׁתּוֹקֵק	אולי	קרוב מאוד ל"חפץ" (רצה) שכבר בחדש, אך "השתוקק" מבטא כמיהה עזה יותר; ספק אם ניואנס העוצמה מספיק להבחנה.		2	רצה מאוד	לא שווה	100	חפץ
זְמוֹרָה	אולי	קרובה ל"חוטר" (ענף צעיר); ספק אם המשמעות הבוטנית שונה מספיק לפריט נפרד.		2	ענף, זרד	אולי	50	חטר
זָמַר	אולי	פועל חקלאי מדויק (גיזום גפן); ספק אם מונח חקלאי-מקצועי צר מדי.		2	גזם את שריגי הגפן והסיר ענפים מיותרים מן העץ	אולי	14	אמיר
חִלְחוּל	אולי	קרוב ל"חלחלה" (פחד) שבמשפחה, אך המשמעות המילולית (חדירת נוזלים) שונה מהמשמעות המטפורית (פחד); ספק אם שונה דיו.		2	הסתננות; חדירה של מים וירידתם למעמקים	אולי	20	אשד
חָתָה	אולי	פועל נדיר (הרמת גחלים בכף); ספק אם מונח טכני-הסקתי צר מדי או פריט מבחן תקין.		2	הרים גחלים בכף או בכלי דומה והעבירם ממקום למקום	אולי	25	נוד
מִאוּס	אולי	קרוב ל"נלעג" (מגוחך); ספק אם "דוחה ומגעיל" זהה מספיק ל"מגוחך ועלוב" — גועל מול לעג הם רגשות שונים.		2	דוחה, מגעיל, בזוי	אולי	33	נלעג
מִכְמוֹנֶת	אולי	שם עצם למלכודת; ספק אם קרוב מדי ל"טמן לו פח" (גם הכנת מלכודת) או שונה מספיק — חפץ קונקרטי מול פעולה.		2	מלכודת, פח יקוש	אולי	33	טמן לו פח
מִכְמָן	אולי	קרוב ל"מכמנים" (אוצרות חבויים) המופיע במשפחה בחדש; ספק אם זו נגזרת שקופה של מילה שכבר קיימת שם.		2	מטמון, אוצר	אולי	50	בלום
מְפוֹרָז	אולי	מונח גיאופוליטי-צבאי מדויק (שטח ללא כוחות צבא); ספק אם מקצועי-צר מדי.		2	שאין בו כוחות צבאיים	אולי	25	חמק
מְרוּבָּב	אולי	קרוב מאוד ל"מגואל" (מוכתם ומלוכלך) שכבר בחדש; ספק אם זהה מדי במשמעות.		2	מוכתם, מלוכלך	אולי	50	מגאל
מְשׂוּרָה	אולי	קרובה מאוד לביטוי "במשורה" הקיים כמעט אותו ביטוי בדיוק; ספק אם זו כפילות של הניב עצמו.		2	כלי למדידת נוזלים; יחידת מידה לנוזלים; (במשורה) במידה מצומצמת, מעט מאוד	אולי	10	במשורה
סָתוּם	אולי	מילה שכיחה מאוד בעגה (גם כגידוף "טיפש"); ספק אם שכיחה מדי לרמת פסיכומטרי למרות המשמעות הפורמלית התקנית.		2	לא ברור, לא מובן, מעורפל	שווה	33	מבהק
פִּיטּוּם	אולי	קרוב מאוד ל"הלעיט" (האכלה מופרזת) שכבר בחדש; ספק אם שם העצם מוסיף די על הפועל הקיים.		2	האכלת מופרזת	שווה	50	הלעיט
צְדוּדִית	אולי	מונח ויזואלי-אמנותי (פרופיל); ספק אם מקצועי-צר מדי (צילום ואמנות).		2	פרופיל, מראה דמותו של אדם או עצם מן הצד	אולי	20	רקה
קָרוּא	אולי	תואר נדיר וארכאי (מי שהוזמן); ספק אם ברור מספיק כפריט עצמאי בשפה בת ימינו.		2	מי שהוזמן	אולי	0	
רָווּי	אולי	תואר רב-משמעי (ספוג נוזל / עתיר); ספק אם המשמעויות מכוסות חלקית על ידי "מרבץ" הרחוק במשמעות.		2	שספג נוזל עד גבול הקליטה; שצמאונו סופק; עתיר, שיש בו הרבה מדבר מסוים	אולי	15	מרבץ
רָפֶה	אולי	קרוב ל"רכרוכי" (חלש אופי); ספק אם "רפה" (חלש פיזית ומדולדל) שונה מספיק מ"רכרוכי" (חלש אופי דווקא).		2	חלש ומדולדל, רופס	אולי	33	רכרוכי
רִפְיוֹן רוּחַ	אולי	קרוב מאוד ל"רפיון ידיים" שבמשפחה בחדש — שני ניבים לאובדן מורל; ספק אמיתי אם זו כפילות או ניב נפרד.		2	יאוש; חולשה נפשית, חוסר אונים	לא שווה	60	אזלת יד
שִׁעֲרוּך	אולי	קרוב ל"שמאי" (מעריך שווי) אך שונה בחלקי דיבור — תהליך מול איש מקצוע; ספק אם מכוסה דיו.		2	הערכת שווי מחדש	אולי	33	שמאי
בִּיעוּת	אולי	חופף חלקית ל"מורא", אך מורא כולל יראת כבוד ואילו ביעות הוא אימה/בהלה חדה	מורא (חפיפה חלקית בלבד, לא זהה)	3	פחד גדול, מורא, אימה	אולי	50	מורא
בַּר-שְׁפִיטָה	אולי	"פקד" אינו קשור כלל, אך המונח עצמו כמעט אך ורק משפטי-פוליטי ("שאלה בת-שפיטה") - ספק אם רחב מספיק כמילת מבחן		3	מי שניתן לשפוט אותו	שווה	33	פקד
בְּשׁוֹגֵג	אולי	קרוב ל"בלי משים" אך בשוגג הוא מונח הלכתי-משפטי (בניגוד ל"במזיד"), לא רק היסח דעת כללי	בלי משים (קרוב, לא זהה)	3	לא בכוונה, בטעות, שלא במתכוון, בלא יודעין	שווה	33	בלי משים
גַּמְלוֹנִי	אולי	"גמל" במשפחה, אך הקפיצה למשמעות המטאפורית (מסורבל, נע בכבדות) אינה מובנת מאליה גם למי שמכיר גמל		3	בעל גוף גדול ומסורבל, הנע בכבדות וללא חן	אולי	13	אנין
הִטִּיל אֶת חִתּוֹ / חִתָּתוֹ	אולי	הניב "הטיל מורא" הקיים במשפחה כמעט זהה במבנה ובמשמעות, אך זהו ניב שונה בכתיב	הטיל מורא (דומה מאוד, לא זהה)	3	הפחיד אותו מאוד, הרתיע	אולי	33	הרתיע
הֵמֵס	אולי	הפועל "נמס/המס" נפוץ יחסית - ספק אם שכיח מדי לבחינה או עדיין מילת מבחן לגיטימית		3	חימם מוצק עד שהפך לנוזל	אולי	20	גדש
הִרְפָּה	אולי	קרוב חלקית ל"חדל", אך "לא הרפה ממנו" הוא ניב נפרד; חפיפה חלקית עם ניבי המשפחה (ריפה ידיו)		3	הפסיק להחזיק בו, הפסיק להטריד או להציק	אולי	33	חדל
הִתְפִּיל	אולי	"תפל" כבר בחדש וההפעיל שקוף בלשנית, אך הקפיצה למשמעות הטכנית הספציפית (התפלת מים) אינה מובנת מאליה לכולם	תפל (שקוף חלקית)	3	הפך לתפל, הפך מי ים למי שתיה	אולי	33	שם דבר
חוֹשֶׁךְ מִצְרַיִם	אולי	הגדרה כמעט זהה ל"צלמות" הקיים ("אפלה כבדה"), אך זהו ניב תנ"כי בעל קונוטציה תרבותית ייחודית (מכת חושך)	צלמות (חפיפה כמעט מלאה)	3	אפלה כבדה, חושך מוחלט (מכת החושך במצרים)	אולי	29	צלמות
חַתְרָנוּת	אולי	"חתר" כבר בחדש והשם-פעולה ניתן לניחוש חלקי, אך למונח קונוטציה פוליטית-אידאולוגית ספציפית שאינה מובנת אוטומטית		3	מאמץ נסתר לכרסם ביסודות של משטר או ממסד עד להפלתו	אולי	25	יצא מגדרו
טָמַן ראשׁוֹ בַּחוֹל	אולי	"העלים עין" כמעט זהה במשמעות (התעלמות מכוונת), אך אלו ניבים נפרדים עם דימויים שונים (בת-יענה מול עצימת עין)	העלים עין (חפיפה כמעט מלאה)	3	התעלם מהמציאות החמורה	אולי	33	העלים עין
לְבָנָה	אולי	"סהר" כבר מכסה משמעות דומה (ירח), אך סהר עשוי להתייחס יותר לירח בצורת סהרון ואילו לבנה שם כללי לירח - חפיפה משמעותית, ספק אם כפילות מלאה	סהר (חפיפה משמעותית, לא ודאי זהה)	3	ירח, המאור הקטן	אולי	33	סהר
מבוֹאָר	אולי	לא נמצאה התאמה בחדש, אך המילה ניתנת לניחוש יחסית מהשורש הנפוץ "באר/הסביר" - ספק קל בקושי		3	מפורש, מוסבר	אולי	0	
מַהְבִּיל	אולי	"הבל" (השורש) כבר בחדש אך במשמעות המושאלת (הבל הבלים), לא הבל=אד; הקשר למשמעות הפיזית (מעלה אדים) אינו ברור מאליו		3	מעלה אדים, רותח	אולי	33	הזדקר
מֵי תְּהוֹם	אולי	צירוף שקוף יחסית (מי + תהום = מים עמוקים), מונח גיאוגרפי-הידרולוגי ספציפי; "אשד" אינו קשור		3	מים המחלחלים לעומק הקרקע ונאגרים בשכבות סלע נקבוביות	אולי	13	אשד
מִנְיָן	אולי	המשמעות הדתית (מניין לתפילה) שכיחה מאוד, אך משמעויות אחרות (ספירה, שיטת מניין שנים) פחות מוכרות; "התל" אינו קשור		3	סך הפריטים שנספרו; עשרה גברים יהודים בוגרים — המספר המזערי לתפילה בציבור; שיטה לציון שנים	אולי	7	התל
מַעֲגָן	אולי	"עגן" (השורש) עשוי להיות במשפחת החדש; אם מוכר, הנגזרת (מקום עגינה) שקופה יחסית, אך תלוי בהיכרות עם השורש הימי		3	נמל, מרינה, מפרץ קטן המשמש לעגינת כלי שיט	אולי	13	פעוט
נַקְבּוּבִית	אולי	"נקב" (חור) כבר במשפחת החדש; נקבובית היא הקטנה שקופה יחסית (חור זעיר), בשימוש בהקשרים מדעיים-טכניים		3	נקב קטן מאוד, חור זעיר	אולי	25	פעוט
עָלַב	אולי	"כרסם" מתאר פגיעה הדרגתית, לא עלבון ישיר - התאמה חלקית בלבד; המושג עצמו (העלבה) שכיח למדי, גם אם הפועל בבניין קל פחות רגיל		3	העליב, פגע	שווה	50	כרסם
בַּר-כִּבּוּשׁ	אולי	כמו "בר-שפיטה", זהו מבנה תחבירי-משפטי/צבאי צר יחסית (שטח בר-כיבוש); "פקד" אינו קשור		4	שאפשר לכבוש אותו	שווה	33	פקד
הִצְנִיעַ	אולי	"בצנעה" כבר במשפחת החדש מאותו שורש (צנע); הפועל "הצניע" קרוב מבחינה מושגית אך אינו זהה תחבירית - חפיפה חלקית		4	הניח דבר מה כך שלא יבלוט, החביא, הסתיר	אולי	17	לפיכך
חַבּוּרָה	אולי	"החוה" (סימן בתנועת גוף) אינו קשור; אך "חברבורה" (כתם מנומר) במשפחת החדש קרוב במושג לחבורה - חפיפה חלקית, לא זהה (חברבורה לאו דווקא מחבלה)		4	סימן כחול / נפיחות כתוצאה ממכה	אולי	20	החוה
חוּצוֹת	אולי	נגזרת/ריבוי ספרותי של המילה הבסיסית "חוץ"; לא ברור אם ראוי כמילת מבחן נפרדת או נגזרת שקופה מדי		4	שטחים פתוחים, רחובות	שווה	0	
יְבָבָה	אולי	"יבב" (השורש, כנראה "יילל") במשפחת החדש - אם משמעותו זהה אז יבבה שם-פעולה שקוף, אך אין הגדרה מאושרת לשורש בטבלה		4	יללה, בכי ממושך או מקוטע (על פי רוב לא חזק)	אולי	14	הגם ש
יְדִיד נֶפֶשׁ	אולי	הצירוף שקוף יחסית מרכיביו (ידיד, נפש - שתי מילים בסיסיות) וגם מוכר תרבותית כפיוט השבת; ספק אם ראוי כמילת מבחן נפרדת		4	חבר נפש, חבר טוב	אולי	25	מוניטין
כְּמִיהָה	אולי	"הומה" עשוי לשאת משמעות פיוטית של געגוע (כמו "לב הומה"), אך משמעותו הרגילה "רועש/סואן" - לא ברור אם יש חפיפה אמיתית, אין הגדרה מאושרת בטבלה		4	השתוקקות	אולי	0	
מַהַתַלָה	אולי	קרוב מאוד ל"משובת נעורים" הקיים (67% חפיפה), אך זה מדגיש שובבות נעורים ואילו מהתלה תעלול/קונדס כללי יותר ולאו דווקא של צעירים - חפיפה חלקית	משובת נעורים (חפיפה חלקית, לא זהה)	4	שובבות, מעשה קונדסות	לא שווה	67	משובת נעורים
מְחִית	אולי	"קרוץ" אינו קשור (ניב "קרוץ מאותו חומר" שונה לגמרי); אך "מחית" (פירה) עשויה להיות שכיחה יחסית בהקשר בישול/מזון תינוקות - ספק קל בשכיחות		4	מאכל עשוי מפירות או ירקות מעוכים, פירה	אולי	17	קרוץ
מִכְסָה	אולי	חפיפה נמוכה עם "לכתחלה", אך יש ספק אם "מכסה" (כמות שנקבעה מראש) שכיחה מדי בשיח הכלכלי ("מכסות ייבוא").		4	כמות מסוימת שנקבעה מראש	אולי	25	לכתחלה
מַרְשֶה	אולי	"הסמיך" מכסה חלקית (33%) אך מרשה הוא שם עצם משפטי ספציפי (מייפה כוח לשליח); ספק אם ההבדל מספיק ואם זה מונח משפטי צר מדי.		4	אדם המסמיך שליח או עורך דין לפעול בשמו	אולי	33	הסמיך
נִפְתָּל	אולי	יתכן ש"נפתולים" (משפחה בחדש) כבר מכסה את מובן העקלקלות, אך לנפתל גם מובן נוסף (ערמומי) שלא ברור אם מכוסה.		4	עקלקל, פתלתל; ערמומי, תחבולני	אולי	25	תחבולה
שַׁלְשֶׁלֶת	אולי	ביטוי "שלשלת אירועים/יוחסין" נפוץ מאוד, יתכן שהמילה מוכרת מדי, אך המובן המילולי (שרשרת מתכת) פחות נפוץ.		4	שרשרת כבדה עשויה טבעות מתכת	אולי	20	יצק
תָּמַהּ	אולי	"פקפק" מכסה רק את המובן המשני (הטלת ספק); המובן העיקרי (התפלאות/השתוממות) אינו מכוסה — יש ספק.		4	התפלא, השתומם; הטיל ספק, התחבט לגבי נכונותו של דבר	אולי	29	פקפק
תַּרְעוֹמֶת	אולי	חפיפה גבוהה (67%) עם "טינה" אך המשמעויות קרובות ולא זהות (תרעומת=תלונה מובעת, טינה=כעס שמור בלב) — כמו בדוגמת חמה/עברה, נרדפות אינה כפילות.		4	תחושת כעס, רוגז	לא שווה	67	טינה
בְּעָתָה	אולי	קרוב נושאית ל"הלך אימים" (הטלת פחד) אך בעתה היא תחושה מנקודת מבט החווה, ואילו "הלך אימים" מתאר הטלת פחד על אחרים — יש ספק אם ההבדל מספיק.		5	פחד פתאומי, בהלה, חרדה	אולי	50	הלך אימים
דָּחַק אֶת הַשָעָה	אולי	קרוב ל"נמהר" (פזיזות) אך מתמקד ספציפית בכפיית תזמון מוקדם מדי ולא בנמהרות כללית — יש ספק אם ההבדל מספיק.		5	עשה משהו לפני זמנו, נהג בפזיזות	אולי	25	נמהר
הִיפּוֹתֶטִי	אולי	מילה בינלאומית שכיחה למדי בשימוש יומיומי בדיונים וויכוחים; ספק אם קשה מספיק כמילת מבחן.		5	משוער, לא ודאי, תאורטי	שווה	0	
הֵלִיט	אולי	חפיפה גבוהה (50%) עם "חפה", שתיהן "כיסה/הסתיר" — יתכן כפילות, אך יתכן ניואנס (חפה=הגנה על מישהו, הליט=עטיפה פיזית-מילולית).		5	כיסה, הסתיר (לוֹט - כיסוי)	אולי	50	חפה
חֲדַל פֵּרָעוֹן	אולי	מונח משפטי-כלכלי ספציפי (חדלות פרעון); יתכן צר מדי מקצועית, אך גם מופיע בחדשות כלכליות — יש ספק.		5	מי שלא מסוגל לשלם את חובו	אולי	25	פן
חִלּוּפֵי גַּבְרֵי	אולי	ביטוי נפוץ למדי בעיתונות הפוליטית הישראלית (חילופי אנשי ציבור); יש ספק אם מוכר מדי לתלמיד ממוצע.		5	החלפת בעלי תפקידים	אולי	33	גילדה
מַסָּד	אולי	חפיפה גבוהה (50%) עם "כן/כנה" — שתיהן "בסיס עליו נשען משהו", אך מסד ספציפי יותר ליסוד מבנה ואילו כנה כללי יותר; יש ספק.		5	בסיס, יסוד	אולי	50	כן / כנה
מְעֻקָּר	אולי	קרוב משפחתית ל"עקר" (עקרות/אי-פוריות), אך המובן הספציפי כאן (חיטוי מוחלט מחיידקים) שונה מהמובן הבסיסי הביולוגי — יש ספק אם ההבחנה מספקת.		5	שעבר חיטוי מוחלט מכל החיידקים שבו, סטֶרילי	אולי	14	נצר
פוֹרְס מָז'וֹר	אולי	מונח משפטי-חוזי (כוח עליון), אך הפך נפוץ יחסית בשיח הציבורי (חוזים, ביטוח, תקופת מלחמה/קורונה) — ספק אם צר מדי מקצועית או מוכר מספיק לציבור.		5	נסיבות בלתי צפויות שאין שליטה עליהן ועשויות לפטור מקיום התחייבות (כוח עליון)	אולי	8	התיפח
שָׂטַם	אולי	קרוב מאוד ל"שקץ" (תיעב), אך שטם מדגיש איבה/טינה ושקץ מדגיש גועל — יתכן שזו אותה משמעות בפועל		5	שנא, תיעב	אולי	50	שקץ
שָׁעָה קַלָּה	אולי	"שלהי" עוסק בסוף תקופה ולא באורך קצר — התאמה שגויה; אך הביטוי נפוץ למדי וייתכן שמוכר לרוב הנבחנים		5	פרק זמן קצר	לא שווה	67	שלהי
אֶבֶן דֶּרֶךְ	אולי	מונח שכיח יחסית בתקשורת ("אבן דרך" במובן ציון דרך), וגם שקוף למדי; לא מכוסה ע"י "תרפה" (נקודת תורפה)		6	נקודת ציון המסמנת אירוע משמעותי בהשתלשלות של מאורעות	אולי	14	תרפה
